dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
WordNetFood_SUB,tart,lobster tart,10,1.0,2,4,0
WordNetFood_SUB,"course (course, dish)",lobster tart,2,1.0,2,5,1
WordNetFood_SUB,"course (course, dish)",lobster tail,2,1.0,1,2,1
WordNetFood_SUB,"course (course, dish)",rice,4,0.0,1,2,1
WordNetFood_SUB,"course (course, dish)",chowder,4,1.0,1,3,0
WordNetFood_SUB,"course (course, dish)",clam chowder,2,1.0,1,4,0
WordNetFood_SUB,"course (course, dish)",scampi,2,1.0,1,3,0
WordNetFood_SUB,"course (course, dish)",sandwich,4,1.0,1,5,0
WordNetFood_SUB,"course (course, dish)",tart,4,1.0,1,2,1
WordNetFood_SUB,"course (course, dish)",applesauce cake,2,1.0,1,7,1
WordNetFood_SUB,"course (course, dish)",dessert,30,0.6428571428571429,2,13,0
WordNetFood_SUB,"course (course, dish)",soup,6,1.0,2,11,0
WordNetFood_SUB,"course (course, dish)",pie,8,1.0,1,5,1
WordNetFood_SUB,"course (course, dish)",pastry,22,0.7,2,5,1
WordNetFood_SUB,"course (course, dish)",bread,8,0.3333333333333333,1,3,1
WordNetFood_SUB,"course (course, dish)",cake,4,1.0,2,11,1
WordNetFood_SUB,"course (course, dish)",cookie,4,0.0,2,8,1
WordNetFood_SUB,"course (course, dish)",jerky,4,1.0,1,3,1
WordNetFood_SUB,"course (course, dish)",beef jerky,2,1.0,1,3,1
WordNetFood_SUB,"course (course, dish)",snack food,58,0.6785714285714286,2,7,0
WordNetFood_SUB,"course (course, dish)",anchovy sauce,2,1.0,1,2,1
WordNetFood_SUB,"course (course, dish)",cochon de lait,2,1.0,1,4,1
WordNetFood_SUB,"course (course, dish)",gyro,2,1.0,1,4,0
WordNetFood_SUB,"course (course, dish)",corn pudding,2,1.0,1,2,0
WordNetFood_SUB,"course (course, dish)",squash pie,2,1.0,1,5,1
WordNetFood_SUB,"course (course, dish)",pudding,4,1.0,1,7,0
WordNetFood_SUB,"course (course, dish)",chicken paprika,2,1.0,1,3,0
WordNetFood_SUB,"course (course, dish)",bun,6,0.0,1,2,1
WordNetFood_SUB,"course (course, dish)",soul food,2,1.0,1,1,1
WordNetFood_SUB,"course (course, dish)",cheese,6,0.5,1,4,1
WordNetFood_SUB,"course (course, dish)",diet,2,1.0,1,2,1
WordNetFood_SUB,pastry,lobster tart,7,1.0,1,2,0
WordNetFood_SUB,pastry,sweet roll,14,1.0,2,5,1
WordNetFood_SUB,pastry,tart,14,1.0,2,4,0
WordNetFood_SUB,pastry,gingersnap,7,1.0,1,3,1
WordNetFood_SUB,pastry,applesauce cake,7,1.0,1,4,1
WordNetFood_SUB,pastry,bear claw,7,1.0,2,3,1
WordNetFood_SUB,pastry,pie,28,1.0,1,2,0
WordNetFood_SUB,pastry,cookie,14,1.0,1,3,1
WordNetFood_SUB,pastry,squash pie,7,1.0,1,2,0
WordNetFood_SUB,pastry,cake,14,1.0,1,2,1
WordNetFood_SUB,"fare (fare, food, foodstuff, nutriment)",lobster tart,1,1.0,2,10,0
WordNetFood_SUB,"fare (fare, food, foodstuff, nutriment)",beef jerky,1,1.0,2,11,0
WordNetFood_SUB,"fare (fare, food, foodstuff, nutriment)",lobster tail,1,1.0,2,12,0
WordNetFood_SUB,"fare (fare, food, foodstuff, nutriment)",rice,2,1.0,2,17,0
WordNetFood_SUB,"fare (fare, food, foodstuff, nutriment)",legume,4,1.0,2,14,0
WordNetFood_SUB,"fare (fare, food, foodstuff, nutriment)",sweet roll,2,1.0,2,12,0
WordNetFood_SUB,"fare (fare, food, foodstuff, nutriment)",chowder,2,1.0,2,12,0
WordNetFood_SUB,"fare (fare, food, foodstuff, nutriment)",clam chowder,1,1.0,2,12,0
WordNetFood_SUB,"fare (fare, food, foodstuff, nutriment)","condiment (condiment, flavorer, herb)",9,1.0,2,20,0
WordNetFood_SUB,"fare (fare, food, foodstuff, nutriment)",salad green,3,1.0,2,13,0
WordNetFood_SUB,"fare (fare, food, foodstuff, nutriment)",beer,4,1.0,2,7,0
WordNetFood_SUB,"fare (fare, food, foodstuff, nutriment)",scampi,1,1.0,2,14,0
WordNetFood_SUB,"fare (fare, food, foodstuff, nutriment)",sandwich,2,1.0,2,15,0
WordNetFood_SUB,"fare (fare, food, foodstuff, nutriment)",greens,4,1.0,2,17,0
WordNetFood_SUB,"fare (fare, food, foodstuff, nutriment)",ingredient,67,1.0,2,8,0
WordNetFood_SUB,"fare (fare, food, foodstuff, nutriment)",field pea,2,1.0,2,10,0
WordNetFood_SUB,"fare (fare, food, foodstuff, nutriment)",meat,16,1.0,2,21,0
WordNetFood_SUB,"fare (fare, food, foodstuff, nutriment)",produce,28,1.0,2,15,0
WordNetFood_SUB,"fare (fare, food, foodstuff, nutriment)",pork,2,1.0,2,17,0
WordNetFood_SUB,"fare (fare, food, foodstuff, nutriment)",vegetable,9,1.0,2,12,0
WordNetFood_SUB,"fare (fare, food, foodstuff, nutriment)",dairy product,5,1.0,2,12,0
WordNetFood_SUB,"fare (fare, food, foodstuff, nutriment)",orange,3,1.0,2,15,0
WordNetFood_SUB,"fare (fare, food, foodstuff, nutriment)",cheese,3,1.0,2,21,0
WordNetFood_SUB,"fare (fare, food, foodstuff, nutriment)",tart,2,1.0,2,9,0
WordNetFood_SUB,"fare (fare, food, foodstuff, nutriment)",sauce,2,1.0,2,9,0
WordNetFood_SUB,"fare (fare, food, foodstuff, nutriment)",gingersnap,1,1.0,2,10,0
WordNetFood_SUB,"fare (fare, food, foodstuff, nutriment)",boysenberry,1,1.0,2,12,0
WordNetFood_SUB,"fare (fare, food, foodstuff, nutriment)",grain,3,1.0,2,15,0
WordNetFood_SUB,"fare (fare, food, foodstuff, nutriment)",jerky,2,1.0,2,14,0
WordNetFood_SUB,"fare (fare, food, foodstuff, nutriment)",berry,4,1.0,2,12,0
WordNetFood_SUB,"fare (fare, food, foodstuff, nutriment)",applesauce cake,1,1.0,2,17,0
WordNetFood_SUB,"fare (fare, food, foodstuff, nutriment)",concoction,27,1.0,1,12,0
WordNetFood_SUB,"fare (fare, food, foodstuff, nutriment)",pea flour,1,1.0,2,10,0
WordNetFood_SUB,"fare (fare, food, foodstuff, nutriment)",raspberry,1,1.0,2,12,0
WordNetFood_SUB,"fare (fare, food, foodstuff, nutriment)",bread,4,1.0,2,17,0
WordNetFood_SUB,"fare (fare, food, foodstuff, nutriment)",meal,35,1.0,2,5,0
WordNetFood_SUB,"fare (fare, food, foodstuff, nutriment)",shellfish,5,1.0,2,12,0
WordNetFood_SUB,"fare (fare, food, foodstuff, nutriment)",bear claw,1,1.0,2,8,0
WordNetFood_SUB,"fare (fare, food, foodstuff, nutriment)",sweet orange,2,1.0,2,12,0
WordNetFood_SUB,"fare (fare, food, foodstuff, nutriment)",koumiss,1,1.0,2,14,0
WordNetFood_SUB,"fare (fare, food, foodstuff, nutriment)",edible fruit,9,1.0,2,13,0
WordNetFood_SUB,"fare (fare, food, foodstuff, nutriment)",cut,3,1.0,1,11,0
WordNetFood_SUB,"fare (fare, food, foodstuff, nutriment)","course (course, dish)",41,1.0,2,14,0
WordNetFood_SUB,"fare (fare, food, foodstuff, nutriment)",octopus,1,1.0,2,12,0
WordNetFood_SUB,"fare (fare, food, foodstuff, nutriment)",chocolate candy,1,1.0,2,17,0
WordNetFood_SUB,"fare (fare, food, foodstuff, nutriment)",navel orange,1,1.0,2,10,0
WordNetFood_SUB,"fare (fare, food, foodstuff, nutriment)",cut of beef,1,1.0,2,14,0
WordNetFood_SUB,"fare (fare, food, foodstuff, nutriment)",pastry,11,1.0,2,12,0
WordNetFood_SUB,"fare (fare, food, foodstuff, nutriment)",anchovy sauce,1,1.0,2,8,0
WordNetFood_SUB,"fare (fare, food, foodstuff, nutriment)",cochon de lait,1,1.0,2,9,0
WordNetFood_SUB,"fare (fare, food, foodstuff, nutriment)",snack food,29,1.0,2,12,0
WordNetFood_SUB,"fare (fare, food, foodstuff, nutriment)",gyro,1,1.0,2,12,0
WordNetFood_SUB,"fare (fare, food, foodstuff, nutriment)",cos,1,1.0,2,3,0
WordNetFood_SUB,"fare (fare, food, foodstuff, nutriment)",starches,8,1.0,2,19,0
WordNetFood_SUB,"fare (fare, food, foodstuff, nutriment)",alcohol,7,1.0,2,6,0
WordNetFood_SUB,"fare (fare, food, foodstuff, nutriment)",spruce beer,1,1.0,2,8,0
WordNetFood_SUB,"fare (fare, food, foodstuff, nutriment)",corn pudding,1,1.0,2,14,0
WordNetFood_SUB,"fare (fare, food, foodstuff, nutriment)",pea,3,1.0,2,12,0
WordNetFood_SUB,"fare (fare, food, foodstuff, nutriment)",soup,3,1.0,2,14,0
WordNetFood_SUB,"fare (fare, food, foodstuff, nutriment)",citrus,4,1.0,2,15,0
WordNetFood_SUB,"fare (fare, food, foodstuff, nutriment)",cookie,2,1.0,2,17,0
WordNetFood_SUB,"fare (fare, food, foodstuff, nutriment)",freshwater fish,1,1.0,2,12,0
WordNetFood_SUB,"fare (fare, food, foodstuff, nutriment)",camembert,1,1.0,2,12,0
WordNetFood_SUB,"fare (fare, food, foodstuff, nutriment)",dessert,15,1.0,2,12,0
WordNetFood_SUB,"fare (fare, food, foodstuff, nutriment)",egg,1,1.0,2,14,0
WordNetFood_SUB,"fare (fare, food, foodstuff, nutriment)",squash pie,1,1.0,2,11,0
WordNetFood_SUB,"fare (fare, food, foodstuff, nutriment)",lettuce,2,1.0,2,10,0
WordNetFood_SUB,"fare (fare, food, foodstuff, nutriment)",chocolate,2,1.0,2,14,0
WordNetFood_SUB,"fare (fare, food, foodstuff, nutriment)",marrowfat pea,1,1.0,2,14,0
WordNetFood_SUB,"fare (fare, food, foodstuff, nutriment)",pudding,2,1.0,2,20,0
WordNetFood_SUB,"fare (fare, food, foodstuff, nutriment)",brown rice,1,1.0,2,12,0
WordNetFood_SUB,"fare (fare, food, foodstuff, nutriment)",brew,6,1.0,2,9,0
WordNetFood_SUB,"fare (fare, food, foodstuff, nutriment)",chicken paprika,1,1.0,2,11,0
WordNetFood_SUB,"fare (fare, food, foodstuff, nutriment)",bun,3,1.0,2,14,0
WordNetFood_SUB,"fare (fare, food, foodstuff, nutriment)",beverage,8,1.0,2,9,0
WordNetFood_SUB,"fare (fare, food, foodstuff, nutriment)",elderberry,1,1.0,2,9,0
WordNetFood_SUB,"fare (fare, food, foodstuff, nutriment)",baked goods,14,1.0,2,17,0
WordNetFood_SUB,"fare (fare, food, foodstuff, nutriment)",seafood,8,1.0,2,15,0
WordNetFood_SUB,"fare (fare, food, foodstuff, nutriment)",soul food,1,1.0,2,8,0
WordNetFood_SUB,"fare (fare, food, foodstuff, nutriment)",cake,2,1.0,2,15,0
WordNetFood_SUB,"fare (fare, food, foodstuff, nutriment)",diet,1,1.0,1,8,0
WordNetFood_SUB,"fare (fare, food, foodstuff, nutriment)",pale ale,1,1.0,1,4,0
WordNetFood_SUB,"fare (fare, food, foodstuff, nutriment)",pie,4,1.0,1,6,0
WordNetFood_SUB,"fare (fare, food, foodstuff, nutriment)",ale,3,1.0,1,4,0
WordNetFood_SUB,"fare (fare, food, foodstuff, nutriment)",dough,1,1.0,2,5,0
WordNetFood_SUB,"fare (fare, food, foodstuff, nutriment)",marjoram,1,1.0,2,10,0
WordNetFood_SUB,"fare (fare, food, foodstuff, nutriment)",lobster,2,1.0,2,8,0
WordNetFood_SUB,"fare (fare, food, foodstuff, nutriment)",water-soluble vitamin,3,1.0,2,5,0
WordNetFood_SUB,"fare (fare, food, foodstuff, nutriment)",choline,1,1.0,2,6,0
WordNetFood_SUB,"fare (fare, food, foodstuff, nutriment)",vitamin,4,1.0,2,6,0
WordNetFood_SUB,"fare (fare, food, foodstuff, nutriment)",culture medium,1,1.0,1,2,0
WordNetFood_SUB,"fare (fare, food, foodstuff, nutriment)",b-complex vitamin,2,1.0,2,4,0
WordNetFood_SUB,baked goods,lobster tart,2,1.0,2,5,0
WordNetFood_SUB,baked goods,sweet roll,4,1.0,2,6,0
WordNetFood_SUB,baked goods,tart,4,1.0,2,5,0
WordNetFood_SUB,baked goods,gingersnap,2,1.0,2,6,0
WordNetFood_SUB,baked goods,applesauce cake,2,1.0,2,7,0
WordNetFood_SUB,baked goods,bread,8,1.0,2,7,0
WordNetFood_SUB,baked goods,bear claw,2,1.0,2,4,0
WordNetFood_SUB,baked goods,pastry,22,1.0,2,6,0
WordNetFood_SUB,baked goods,cookie,4,1.0,2,6,0
WordNetFood_SUB,baked goods,squash pie,2,1.0,2,5,0
WordNetFood_SUB,baked goods,bun,6,1.0,2,6,0
WordNetFood_SUB,baked goods,pie,8,1.0,1,3,0
WordNetFood_SUB,baked goods,cake,4,1.0,2,6,0
WordNetFood_SUB,snack food,lobster tart,4,1.0,1,2,1
WordNetFood_SUB,snack food,beef jerky,4,1.0,2,5,1
WordNetFood_SUB,snack food,sweet roll,8,1.0,2,6,1
WordNetFood_SUB,snack food,sandwich,8,1.0,2,5,0
WordNetFood_SUB,snack food,orange,12,0.0,1,2,1
WordNetFood_SUB,snack food,cheese,12,0.0,1,4,1
WordNetFood_SUB,snack food,gingersnap,4,1.0,2,6,1
WordNetFood_SUB,snack food,jerky,8,1.0,2,5,1
WordNetFood_SUB,snack food,applesauce cake,4,1.0,1,2,1
WordNetFood_SUB,snack food,bread,16,1.0,1,2,1
WordNetFood_SUB,snack food,bear claw,4,1.0,2,4,1
WordNetFood_SUB,snack food,chocolate candy,4,1.0,2,6,1
WordNetFood_SUB,snack food,pastry,44,0.9,2,6,1
WordNetFood_SUB,snack food,cookie,8,1.0,2,6,1
WordNetFood_SUB,snack food,tart,8,1.0,1,2,1
WordNetFood_SUB,snack food,pie,16,0.6666666666666666,1,2,1
WordNetFood_SUB,snack food,cake,8,1.0,2,5,1
WordNetFood_SUB,snack food,bun,12,1.0,2,4,1
WordNetFood_SUB,snack food,gyro,4,1.0,1,2,0
WordNetFood_SUB,snack food,dessert,60,0.8571428571428571,1,2,1
WordNetFood_SUB,snack food,chocolate,8,1.0,1,2,1
WordNetFood_SUB,snack food,pudding,8,0.0,1,3,1
WordNetFood_SUB,jerky,beef jerky,7,1.0,2,4,0
WordNetFood_SUB,meat,beef jerky,3,1.0,2,5,0
WordNetFood_SUB,meat,lobster tail,3,1.0,1,2,1
WordNetFood_SUB,meat,pork,6,1.0,2,6,0
WordNetFood_SUB,meat,cut of beef,3,1.0,2,5,0
WordNetFood_SUB,meat,jerky,6,1.0,2,5,0
WordNetFood_SUB,meat,cochon de lait,3,1.0,2,5,0
WordNetFood_SUB,meat,shellfish,15,0.75,1,2,1
WordNetFood_SUB,meat,cut,9,1.0,1,3,0
WordNetFood_SUB,meat,octopus,3,1.0,1,2,1
WordNetFood_SUB,meat,freshwater fish,3,1.0,1,2,1
WordNetFood_SUB,meat,chicken paprika,3,1.0,1,1,1
