dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
WordNetFood_SUB,tart,lobster tart,8,1.0,2,3,0
WordNetFood_SUB,pastry,lobster tart,6,1.0,1,1,0
WordNetFood_SUB,pastry,sweet roll,12,1.0,1,3,1
WordNetFood_SUB,pastry,tart,12,1.0,2,7,0
WordNetFood_SUB,pastry,gingersnap,6,1.0,1,2,1
WordNetFood_SUB,pastry,applesauce cake,6,1.0,1,2,1
WordNetFood_SUB,pastry,bear claw,6,1.0,2,6,1
WordNetFood_SUB,pastry,pie,24,1.0,1,3,0
WordNetFood_SUB,pastry,squash pie,6,1.0,1,3,0
WordNetFood_SUB,pastry,cookie,12,1.0,1,3,1
WordNetFood_SUB,dish,lobster tart,4,1.0,2,4,1
WordNetFood_SUB,dish,sweet roll,8,1.0,2,6,1
WordNetFood_SUB,dish,chowder,8,1.0,2,6,0
WordNetFood_SUB,dish,clam chowder,4,1.0,2,4,0
WordNetFood_SUB,dish,sandwich,8,1.0,2,6,0
WordNetFood_SUB,dish,tart,8,1.0,2,7,1
WordNetFood_SUB,dish,gingersnap,4,1.0,1,1,1
WordNetFood_SUB,dish,jerky,8,0.0,1,2,1
WordNetFood_SUB,dish,applesauce cake,4,1.0,2,5,1
WordNetFood_SUB,dish,lobster tail,4,1.0,1,3,1
WordNetFood_SUB,dish,scampi,4,1.0,1,3,0
WordNetFood_SUB,dish,bear claw,4,1.0,1,2,1
WordNetFood_SUB,dish,chicken paprika,4,1.0,2,5,0
WordNetFood_SUB,dish,cochon de lait,4,1.0,1,3,1
WordNetFood_SUB,dish,gyro,4,1.0,2,6,0
WordNetFood_SUB,dish,soup,12,1.0,2,5,0
WordNetFood_SUB,dish,pie,16,1.0,1,3,1
WordNetFood_SUB,dish,cake,8,1.0,1,3,1
WordNetFood_SUB,dish,cookie,8,1.0,2,5,1
WordNetFood_SUB,dish,pudding,8,1.0,2,6,0
WordNetFood_SUB,dish,corn pudding,4,1.0,2,6,0
WordNetFood_SUB,dish,brown rice,4,1.0,1,3,1
WordNetFood_SUB,dish,rice,8,1.0,1,3,1
WordNetFood_SUB,dish,pastry,40,1.0,1,3,1
WordNetFood_SUB,dish,course,48,0.9090909090909091,1,3,1
WordNetFood_SUB,dish,dessert,28,0.8333333333333334,1,3,1
WordNetFood_SUB,dish,squash pie,4,1.0,1,2,1
WordNetFood_SUB,dish,baked goods,56,0.8461538461538461,1,3,1
WordNetFood_SUB,"fare (fare, food, foodstuff)",lobster tart,2,1.0,2,6,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",beef jerky,2,1.0,2,9,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",lobster tail,2,1.0,2,12,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",rice,4,1.0,2,7,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",legume,8,1.0,2,9,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",sweet roll,4,1.0,2,9,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",chowder,4,1.0,2,12,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",clam chowder,2,1.0,2,6,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",herb,4,1.0,2,10,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",salad green,6,1.0,2,9,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",scampi,2,1.0,2,8,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",sandwich,4,1.0,2,12,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",greens,8,1.0,2,9,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",ingredient,138,0.9411764705882353,2,5,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",field pea,4,1.0,2,7,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",meat,32,1.0,2,9,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",produce,42,1.0,2,11,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",pork,4,1.0,2,12,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",vegetable,18,1.0,2,11,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",dairy product,8,1.0,2,7,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",orange,6,1.0,2,8,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",cheese,4,1.0,2,7,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",tart,4,1.0,2,10,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",sauce,4,1.0,2,9,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",gingersnap,2,1.0,2,9,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",boysenberry,2,1.0,2,7,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",grain,6,1.0,2,12,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",jerky,4,1.0,2,12,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",berry,8,1.0,2,7,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",applesauce cake,2,1.0,2,9,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",pea flour,2,1.0,2,8,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",raspberry,2,1.0,2,5,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",bread,8,1.0,2,11,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",meal,4,1.0,1,6,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",flavorer,12,1.0,1,8,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",shellfish,10,1.0,2,9,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",condiment,6,1.0,2,9,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",bear claw,2,1.0,2,6,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",sweet orange,4,1.0,2,7,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",koumiss,2,1.0,2,7,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",edible fruit,18,1.0,2,7,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",dish,66,1.0,2,12,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",chocolate candy,2,1.0,2,9,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",navel orange,2,1.0,2,7,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",cut of beef,2,1.0,2,12,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",pastry,20,1.0,2,12,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",anchovy sauce,2,1.0,2,9,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",cochon de lait,2,1.0,2,9,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",snack food,16,1.0,2,12,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",gyro,2,1.0,2,8,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",culture medium,2,1.0,1,4,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",cos,2,1.0,2,6,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",course,24,1.0,1,9,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",starches,12,1.0,2,9,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",spruce beer,2,1.0,2,7,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",corn pudding,2,1.0,2,12,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",pea,6,1.0,2,7,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",soup,6,1.0,2,9,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",citrus,8,1.0,2,11,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",cookie,4,1.0,2,12,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",freshwater fish,2,1.0,2,4,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",camembert,2,1.0,2,7,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",dessert,14,1.0,2,11,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",egg,2,1.0,2,9,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",squash pie,2,1.0,2,9,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",lettuce,4,1.0,2,7,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",chocolate,2,1.0,2,11,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",marrowfat pea,2,1.0,2,7,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",pudding,4,1.0,2,12,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",brown rice,2,1.0,2,8,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",brew,14,1.0,2,9,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",chicken paprika,2,1.0,2,9,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",bun,2,1.0,2,9,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",beverage,16,1.0,2,7,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",elderberry,2,1.0,2,5,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",baked goods,28,1.0,2,12,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",seafood,20,1.0,2,14,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",soul food,2,1.0,2,6,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",beer,8,1.0,1,3,0
