dataset,run,model,hop,hits,total,recall
CellOntology_SUB,CellOntology_SUB_Our_Method_k1000_clawback0_gemini31b,gemini-3.1-pro-preview,1,121,135,0.8963
CellOntology_SUB,CellOntology_SUB_Our_Method_k1000_clawback0_gemini31b,gemini-3.1-pro-preview,2,128,141,0.9078
CellOntology_SUB,CellOntology_SUB_Our_Method_k1000_clawback0_gemini31b,gemini-3.1-pro-preview,3,115,121,0.9504
CellOntology_SUB,CellOntology_SUB_Our_Method_k1000_clawback0_gemini31b,gemini-3.1-pro-preview,4,89,92,0.9674
CellOntology_SUB,CellOntology_SUB_Our_Method_k1000_clawback0_gemini31b,gemini-3.1-pro-preview,5,67,69,0.971
CellOntology_SUB,CellOntology_SUB_Our_Method_k1000_clawback0_gemini31b,gemini-3.1-pro-preview,6,32,33,0.9697
CellOntology_SUB,CellOntology_SUB_Our_Method_k1000_clawback0_gemini31b,gemini-3.1-pro-preview,7,12,12,1.0
CellOntology_SUB,CellOntology_SUB_Our_Method_k1000_clawback0_gemini31b,gemini-3.1-pro-preview,8,2,2,1.0
CellOntology_SUB,CellOntology_SUB_Our_Method_k1000_clawback0_gemma4b,google/gemma-4-31b-it,1,90,135,0.6667
CellOntology_SUB,CellOntology_SUB_Our_Method_k1000_clawback0_gemma4b,google/gemma-4-31b-it,2,88,141,0.6241
CellOntology_SUB,CellOntology_SUB_Our_Method_k1000_clawback0_gemma4b,google/gemma-4-31b-it,3,72,121,0.595
CellOntology_SUB,CellOntology_SUB_Our_Method_k1000_clawback0_gemma4b,google/gemma-4-31b-it,4,48,92,0.5217
CellOntology_SUB,CellOntology_SUB_Our_Method_k1000_clawback0_gemma4b,google/gemma-4-31b-it,5,36,69,0.5217
CellOntology_SUB,CellOntology_SUB_Our_Method_k1000_clawback0_gemma4b,google/gemma-4-31b-it,6,20,33,0.6061
CellOntology_SUB,CellOntology_SUB_Our_Method_k1000_clawback0_gemma4b,google/gemma-4-31b-it,7,8,12,0.6667
CellOntology_SUB,CellOntology_SUB_Our_Method_k1000_clawback0_gemma4b,google/gemma-4-31b-it,8,1,2,0.5
CellOntology_SUB,CellOntology_SUB_SingleCall_gemini31b,gemini-3.1-pro-preview,1,34,135,0.2519
