dataset,run,model,tag,timestamp,results_file,n_pred_edges,n_unmapped,recall_all,recall_direct,recall_indirect,precision_closure_aware,f1_alt,accuracy,accuracy_trivial_baseline
CellOntology_SUB,CellOntology_SUB_Our_Method_k1000_clawback0_gemini31b,gemini-3.1-pro-preview,gemini31b,2026-09-24T00:39:59,battery_gemini.json,728,0,0.9355,0.8963,0.9468,0.7679,0.8434,0.9786,0.9435
CellOntology_SUB,CellOntology_SUB_Our_Method_k1000_clawback0_gemma4b,google/gemma-4-31b-it,gemma4b,2026-09-24T00:19:15,battery_gemma4.json,484,0,0.6,0.6667,0.5809,0.7231,0.6558,0.9618,0.9435
CellOntology_SUB,CellOntology_SUB_SingleCall_gemini31b,gemini-3.1-pro-preview,gemini31b,2026-09-24T00:39:59,battery_gemini.json,45,0,0.119,0.2519,0.0809,0.8667,0.2093,0.9492,0.9435
CellOntology_SUB,CellOntology_SUB_SingleCall_gemma4b,google/gemma-4-31b-it,gemma4b,2026-09-24T00:19:15,battery_gemma4.json,94,0,0.5488,0.5407,0.5511,0.8191,0.6572,0.9709,0.9435
LLMs4OL_MatOnto_SUB,LLMs4OL_MatOnto_SUB_Our_Method_k1000_clawback0_gemini31b,gemini-3.1-pro-preview,gemini31b,2026-09-24T00:39:59,battery_gemini.json,353,0,0.855,0.8333,0.8659,0.6261,0.7228,0.9789,0.9728
LLMs4OL_MatOnto_SUB,LLMs4OL_MatOnto_SUB_Our_Method_k1000_clawback0_gemma4b,google/gemma-4-31b-it,gemma4b,2026-09-24T00:19:15,battery_gemma4.json,287,0,0.7807,0.7778,0.7821,0.5122,0.6186,0.9774,0.9728
LLMs4OL_MatOnto_SUB,LLMs4OL_MatOnto_SUB_SingleCall_gemini31b,gemini-3.1-pro-preview,gemini31b,2026-09-24T00:39:59,battery_gemini.json,90,0,0.777,0.7667,0.7821,0.6556,0.7111,0.9885,0.9728
LLMs4OL_MatOnto_SUB,LLMs4OL_MatOnto_SUB_SingleCall_gemma4b,google/gemma-4-31b-it,gemma4b,2026-09-24T00:19:15,battery_gemma4.json,88,0,0.539,0.6333,0.4916,0.6705,0.5976,0.9742,0.9728
LLMs4OL_OBI_SUB,LLMs4OL_OBI_SUB_Our_Method_k1000_clawback0_gemini31b,gemini-3.1-pro-preview,gemini31b,2026-09-24T00:39:59,battery_gemini.json,380,0,0.9552,0.907,0.978,0.6737,0.7901,0.9856,0.9729
LLMs4OL_OBI_SUB,LLMs4OL_OBI_SUB_Our_Method_k1000_clawback0_gemma4b,google/gemma-4-31b-it,gemma4b,2026-09-24T00:19:15,battery_gemma4.json,364,0,0.7239,0.7558,0.7088,0.489,0.5837,0.9639,0.9729
LLMs4OL_OBI_SUB,LLMs4OL_OBI_SUB_SingleCall_gemini31b,gemini-3.1-pro-preview,gemini31b,2026-09-24T00:39:59,battery_gemini.json,97,0,0.8396,0.8023,0.8571,0.8144,0.8268,0.988,0.9729
LLMs4OL_OBI_SUB,LLMs4OL_OBI_SUB_SingleCall_gemma4b,google/gemma-4-31b-it,gemma4b,2026-09-24T00:19:15,battery_gemma4.json,94,0,0.5784,0.7093,0.5165,0.7128,0.6386,0.9754,0.9729
LLMs4OL_PO_SUB,LLMs4OL_PO_SUB_Our_Method_k1000_clawback0_gemini31b,gemini-3.1-pro-preview,gemini31b,2026-09-24T00:39:59,battery_gemini.json,472,0,0.9216,0.9091,0.9264,0.6229,0.7434,0.9777,0.9678
LLMs4OL_PO_SUB,LLMs4OL_PO_SUB_Our_Method_k1000_clawback0_gemma4b,google/gemma-4-31b-it,gemma4b,2026-09-24T00:19:15,battery_gemma4.json,342,0,0.674,0.75,0.645,0.5994,0.6345,0.9688,0.9678
LLMs4OL_PO_SUB,LLMs4OL_PO_SUB_SingleCall_gemini31b,gemini-3.1-pro-preview,gemini31b,2026-09-24T00:39:59,battery_gemini.json,97,0,0.8401,0.7955,0.8571,0.7938,0.8163,0.978,0.9678
LLMs4OL_PO_SUB,LLMs4OL_PO_SUB_SingleCall_gemma4b,google/gemma-4-31b-it,gemma4b,2026-09-24T00:19:15,battery_gemma4.json,86,0,0.6113,0.5682,0.6277,0.7791,0.6851,0.9775,0.9678
LLMs4OL_SchemaOrg_SUB,LLMs4OL_SchemaOrg_SUB_Our_Method_k1000_clawback0_gemini31b,gemini-3.1-pro-preview,gemini31b,2026-09-24T00:39:59,battery_gemini.json,202,0,0.9931,0.9882,1.0,0.7079,0.8266,0.9939,0.986
