dataset,m,Cond_Clos_F1,judgments_per_call,mean_score,delta_vs_m1,t_p,wilcoxon_p,datasets_up
CellOntology_SUB,1,0.8008893773566679,103,,,,,
CellOntology_SUB,2,0.8424176702243023,206,,,,,
CellOntology_SUB,5,0.7159975078603822,515,,,,,
CellOntology_SUB,10,0.7431542271063609,1030,,,,,
CellOntology_SUB,25,0.752913522593126,2575,,,,,
CellOntology_SUB,50,0.6476972469244539,5150,,,,,
CellOntology_SUB,100,0.6490649064906491,10300,,,,,
LLMs4OL_MatOnto_SUB,1,0.6801465942120561,99,,,,,
LLMs4OL_MatOnto_SUB,2,0.5269016697588127,198,,,,,
LLMs4OL_MatOnto_SUB,5,0.5720930232558139,495,,,,,
LLMs4OL_MatOnto_SUB,10,0.4680851063829787,990,,,,,
LLMs4OL_MatOnto_SUB,25,0.5074626865671642,2475,,,,,
LLMs4OL_MatOnto_SUB,50,0.5343889163780307,4950,,,,,
LLMs4OL_MatOnto_SUB,100,0.6317255578768886,9900,,,,,
LLMs4OL_OBI_SUB,1,0.6459991254919109,99,,,,,
LLMs4OL_OBI_SUB,2,0.5640989198408187,198,,,,,
LLMs4OL_OBI_SUB,5,0.513305978898007,495,,,,,
LLMs4OL_OBI_SUB,10,0.5806537736321314,990,,,,,
LLMs4OL_OBI_SUB,25,0.5931785689972087,2475,,,,,
LLMs4OL_OBI_SUB,50,0.5333333333333333,4950,,,,,
LLMs4OL_OBI_SUB,100,0.4726455818870584,9900,,,,,
LLMs4OL_PO_SUB,1,0.6331885387437944,99,,,,,
LLMs4OL_PO_SUB,2,0.6149782748394932,198,,,,,
LLMs4OL_PO_SUB,5,0.586053880026233,495,,,,,
LLMs4OL_PO_SUB,10,0.5308293530178029,990,,,,,
LLMs4OL_PO_SUB,25,0.5628839113979027,2475,,,,,
LLMs4OL_PO_SUB,50,0.6920634920634922,4950,,,,,
LLMs4OL_PO_SUB,100,0.6288712167099787,9900,,,,,
LLMs4OL_SchemaOrg_SUB,1,0.5566037735849056,101,,,,,
LLMs4OL_SchemaOrg_SUB,2,0.6208955223880598,202,,,,,
LLMs4OL_SchemaOrg_SUB,5,0.6557643600888028,505,,,,,
LLMs4OL_SchemaOrg_SUB,10,0.6144927536231884,1010,,,,,
LLMs4OL_SchemaOrg_SUB,25,0.5873417721518986,2525,,,,,
LLMs4OL_SchemaOrg_SUB,50,0.6526299901894198,5050,,,,,
LLMs4OL_SchemaOrg_SUB,100,0.5747049654865287,10100,,,,,
SemEvalFood_SUB,1,0.7787155678002751,99,,,,,
SemEvalFood_SUB,2,0.7204146411627896,198,,,,,
SemEvalFood_SUB,5,0.5546995377503852,495,,,,,
SemEvalFood_SUB,10,0.5691573926868044,990,,,,,
SemEvalFood_SUB,25,0.43276661514683157,2475,,,,,
SemEvalFood_SUB,50,0.4757973803348486,4950,,,,,
SemEvalFood_SUB,100,0.6203420497135226,9900,,,,,
WordNetFood_SUB,1,0.751918565350511,99,,,,,
WordNetFood_SUB,2,0.752651385562778,198,,,,,
WordNetFood_SUB,5,0.7071999999999999,495,,,,,
WordNetFood_SUB,10,0.734959349593496,990,,,,,
WordNetFood_SUB,25,0.7532846715328467,2475,,,,,
WordNetFood_SUB,50,0.6462512408458354,4950,,,,,
WordNetFood_SUB,100,0.6534975211136836,9900,,,,,
,,,,,,,,
,2,,206,0.6632,-0.0293,0.3413,0.4688,3/7
,5,,515,0.615,-0.0775,0.0836,0.1094,1/7
,10,,1030,0.6059,-0.0866,0.0588,0.0781,1/7
,25,,2575,0.5985,-0.0939,0.1007,0.0781,2/7
,50,,5150,0.5975,-0.095,0.1124,0.0781,2/7
,100,,10300,0.6044,-0.0881,0.0241,0.0469,1/7
,,,,,,,,
KNEE: holds through m=1,2,first degraded m,,,,,,
