dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
medium_components_SUB,antibiotics,penicillin,2,1.0,2,2,0
medium_components_SUB,antibiotics,puromycin,1,1.0,2,2,0
medium_components_SUB,antibiotics,streptmycine,1,1.0,2,2,0
medium_components_SUB,antibiotics,penicillin g,1,1.0,2,2,0
medium_components_SUB,penicillin,penicillin g,3,1.0,2,2,0
medium_components_SUB,growth media component,puromycin,1,1.0,2,2,0
medium_components_SUB,growth media component,streptmycine,1,1.0,2,2,0
medium_components_SUB,growth media component,"b27 (b27, b27 serum)",2,1.0,2,4,0
medium_components_SUB,growth media component,b27 without vitamin a,1,1.0,2,2,0
medium_components_SUB,growth media component,basic fibroblast growth factor bfgf,2,1.0,2,2,0
medium_components_SUB,growth media component,human basic fibroblast growth factor,1,1.0,2,2,0
medium_components_SUB,growth media component,bsa,2,1.0,2,2,0
medium_components_SUB,growth media component,bsa faction v,1,1.0,2,2,0
medium_components_SUB,growth media component,dmemhams f-12 5050 mix dmemf12,2,1.0,2,2,0
medium_components_SUB,growth media component,dmemlow glucose,1,1.0,2,2,0
medium_components_SUB,growth media component,egm2 growth medium lonza,2,1.0,2,2,0
medium_components_SUB,growth media component,endothelial growth media-2,3,1.0,2,2,0
medium_components_SUB,growth media component,epidermal growth factor egf,2,1.0,2,2,0
medium_components_SUB,growth media component,human recombinant epidermal growth factor,1,1.0,2,2,0
medium_components_SUB,growth media component,fbs,5,1.0,2,2,0
medium_components_SUB,growth media component,charcoal filtered fbs,1,1.0,2,2,0
medium_components_SUB,growth media component,fbs sigma f7524,1,1.0,2,2,0
medium_components_SUB,growth media component,heat inactivated fetal calf serum,1,1.0,2,2,0
medium_components_SUB,growth media component,new zealand cosmic calf serum fcs thermo fisher scientific australia scoresby vic australia,1,1.0,2,2,0
medium_components_SUB,growth media component,us origin fetal bovine serum fbs,1,1.0,2,2,0
medium_components_SUB,growth media component,fgf,4,1.0,2,2,0
medium_components_SUB,growth media component,fgf4,1,1.0,2,2,0
medium_components_SUB,growth media component,glutamin,1,1.0,2,2,0
medium_components_SUB,growth media component,glutamax,1,1.0,2,2,0
medium_components_SUB,growth media component,penicillin,2,1.0,1,1,0
medium_components_SUB,growth media component,dmef12,1,1.0,1,1,0
medium_components_SUB,growth media component,knockout dmemf12,1,1.0,1,1,0
medium_components_SUB,growth media component,dmem 1x,1,1.0,1,1,0
medium_components_SUB,growth media component,dmem high glucose,1,1.0,1,1,0
medium_components_SUB,growth media component,dmem media mediatech-cellgro,1,1.0,1,1,0
medium_components_SUB,growth media component,dmem media sigma d6546,1,1.0,1,1,0
medium_components_SUB,growth media component,dmemrpmi,1,1.0,1,1,0
medium_components_SUB,growth media component,hm,1,1.0,1,1,0
medium_components_SUB,growth media component,phenol-red free dmem,1,1.0,1,1,0
medium_components_SUB,growth media component,lonza egm-2 media cat no cc-3162,1,1.0,1,1,0
medium_components_SUB,growth media component,2-mercaptoethanol,1,1.0,2,2,0
medium_components_SUB,growth media component,activin a,1,1.0,2,2,0
medium_components_SUB,growth media component,bmp4,1,1.0,2,2,0
medium_components_SUB,growth media component,bovine pituitary extract,1,1.0,2,2,0
medium_components_SUB,growth media component,calcium chloride,1,1.0,2,2,0
medium_components_SUB,growth media component,dexamethasone dex,1,1.0,2,2,0
medium_components_SUB,growth media component,erythroid expansion supplement,1,1.0,2,2,0
medium_components_SUB,growth media component,flt-3l,1,1.0,1,1,0
medium_components_SUB,growth media component,hams-f12,1,1.0,1,1,0
medium_components_SUB,growth media component,heparin,1,1.0,2,2,0
medium_components_SUB,growth media component,hepes,1,1.0,1,1,0
medium_components_SUB,growth media component,hgf,1,1.0,2,3,0
medium_components_SUB,growth media component,huesm medium,1,1.0,1,1,0
medium_components_SUB,growth media component,hydrocortisone,1,1.0,2,2,0
medium_components_SUB,growth media component,il-1beta,1,1.0,1,1,0
medium_components_SUB,growth media component,il7,1,1.0,2,2,0
medium_components_SUB,growth media component,insulin,1,1.0,2,2,0
