dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
medium_components_SUB,antibiotic-antimycotic,penicillin,1,1.0,0,1,1
medium_components_SUB,antibiotic-antimycotic,puromycin,1,1.0,0,1,1
medium_components_SUB,antibiotic-antimycotic,streptmycine,1,1.0,0,1,1
medium_components_SUB,antibiotic-antimycotic,penicillin g,1,1.0,0,3,1
medium_components_SUB,antibiotics,penicillin g,1,1.0,0,2,0
medium_components_SUB,ps,penicillin g,1,1.0,0,2,1
medium_components_SUB,b27 serum,b27 without vitamin a,4,1.0,0,2,1
medium_components_SUB,fgf,basic fibroblast growth factor bfgf,2,0.0,0,1,0
medium_components_SUB,basic fibroblast growth factor bfgf,human basic fibroblast growth factor,3,1.0,0,2,0
medium_components_SUB,growth media component,basic fibroblast growth factor bfgf,2,0.0,0,1,0
medium_components_SUB,growth media component,endothelial growth media-2,2,0.0,1,2,0
medium_components_SUB,growth media component,insulin-transferrin,2,1.0,0,1,0
medium_components_SUB,growth media component,insulin-transferrin-selenium-ethanolamine,1,1.0,0,3,0
medium_components_SUB,growth media component,sodium pyruvate,1,1.0,0,1,0
medium_components_SUB,growth media component,pyruvate,1,1.0,0,2,0
medium_components_SUB,dmem,dmemhams f-12 5050 mix dmemf12,2,1.0,0,2,0
medium_components_SUB,dmem,knockout dmemf12,1,1.0,0,2,0
medium_components_SUB,dmem,dmem 1x,2,1.0,1,2,0
medium_components_SUB,dmem,dmem high glucose,2,1.0,1,2,0
medium_components_SUB,dmem,dmemlow glucose,1,1.0,1,2,0
medium_components_SUB,dmem,dmemrpmi,2,1.0,1,2,0
medium_components_SUB,dmem,phenol-red free dmem,2,1.0,1,2,0
medium_components_SUB,dmem,dmem media mediatech-cellgro,2,1.0,1,2,0
medium_components_SUB,dmem,dmem media sigma d6546,2,1.0,1,2,0
medium_components_SUB,dmem,sodium pyruvate,1,1.0,0,1,1
medium_components_SUB,dmemhams f-12 5050 mix dmemf12,knockout dmemf12,2,1.0,0,2,1
medium_components_SUB,dmem 1x,sodium pyruvate,2,1.0,0,1,1
medium_components_SUB,dmem high glucose,sodium pyruvate,2,1.0,0,1,1
medium_components_SUB,dmemrpmi,sodium pyruvate,2,1.0,0,1,1
medium_components_SUB,phenol-red free dmem,sodium pyruvate,2,1.0,0,1,1
medium_components_SUB,dmem media mediatech-cellgro,sodium pyruvate,2,1.0,0,1,1
medium_components_SUB,dmem media sigma d6546,sodium pyruvate,2,1.0,0,1,1
medium_components_SUB,endothelial growth media-2,lonza egm-2 media cat no cc-3162,2,1.0,0,2,0
medium_components_SUB,serum,fbs,6,0.0,1,1,0
medium_components_SUB,fbs,charcoal filtered fbs,2,1.0,1,2,0
medium_components_SUB,fbs,fbs sigma f7524,2,1.0,1,2,0
medium_components_SUB,fbs,us origin fetal bovine serum fbs,2,1.0,1,2,0
medium_components_SUB,fbs,heat inactivated fetal calf serum,2,1.0,0,1,0
medium_components_SUB,fbs,new zealand cosmic calf serum fcs thermo fisher scientific australia scoresby vic australia,2,1.0,0,1,0
medium_components_SUB,insulin-transferrin,insulin-transferrin-selenium-ethanolamine,5,1.0,0,2,0
medium_components_SUB,b27,b27 serum,6,0.0,0,1,0
medium_components_SUB,insulin,insulin-transferrin,2,1.0,0,1,0
medium_components_SUB,insulin,insulin-transferrin-selenium-ethanolamine,1,1.0,0,2,0
medium_components_SUB,transferrin,insulin-transferrin-selenium-ethanolamine,1,1.0,0,2,0
medium_components_SUB,neural basal medium,neuronal stem cell medium,8,0.0,1,2,0
medium_components_SUB,neuronal stem cell medium,b27,6,1.0,1,2,1
medium_components_SUB,neuronal stem cell medium,b27 serum,4,1.0,1,2,1
medium_components_SUB,neuronal stem cell medium,b27 without vitamin a,2,1.0,1,2,1
medium_components_SUB,neuronal stem cell medium,neural supplement,2,1.0,1,2,1
medium_components_SUB,neuronal stem cell medium,insulin-transferrin,4,1.0,1,2,1
medium_components_SUB,neuronal stem cell medium,insulin-transferrin-selenium-ethanolamine,2,1.0,1,2,1
medium_components_SUB,neuronal stem cell medium,2-mercaptoethanol,2,1.0,1,2,1
