dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
medium_components_SUB,antibiotics,antibiotic-antimycotic,1,1.0,1,1,0
medium_components_SUB,antibiotics,ps,1,1.0,1,1,0
medium_components_SUB,antibiotics,penicillin,2,1.0,2,2,0
medium_components_SUB,antibiotics,streptmycine,1,1.0,2,2,0
medium_components_SUB,antibiotics,puromycin,1,1.0,2,2,0
medium_components_SUB,antibiotics,penicillin g,1,1.0,2,3,0
medium_components_SUB,penicillin,penicillin g,2,1.0,2,3,0
medium_components_SUB,growth media component,b27,3,1.0,2,4,0
medium_components_SUB,growth media component,b27 serum,2,1.0,2,3,0
medium_components_SUB,growth media component,b27 without vitamin a,1,1.0,2,3,0
medium_components_SUB,growth media component,basic fibroblast growth factor bfgf,2,1.0,2,3,0
medium_components_SUB,growth media component,dmem media sigma d6546,1,1.0,1,2,0
medium_components_SUB,growth media component,fbs,6,1.0,2,4,0
medium_components_SUB,growth media component,glutamin,2,1.0,2,3,0
medium_components_SUB,growth media component,glutamax,1,1.0,2,3,0
medium_components_SUB,growth media component,antibiotic-antimycotic,1,1.0,1,1,0
medium_components_SUB,growth media component,human basic fibroblast growth factor,1,1.0,1,1,0
medium_components_SUB,growth media component,bsa,2,1.0,1,1,0
medium_components_SUB,growth media component,bsa faction v,1,1.0,1,1,0
medium_components_SUB,growth media component,epidermal growth factor egf,2,1.0,1,1,0
medium_components_SUB,growth media component,human recombinant epidermal growth factor,1,1.0,1,1,0
medium_components_SUB,growth media component,charcoal filtered fbs,1,1.0,1,1,0
medium_components_SUB,growth media component,fbs sigma f7524,1,1.0,1,1,0
medium_components_SUB,growth media component,heat inactivated fetal calf serum,1,1.0,1,1,0
medium_components_SUB,growth media component,new zealand cosmic calf serum fcs thermo fisher scientific australia scoresby vic australia,1,1.0,1,1,0
medium_components_SUB,growth media component,us origin fetal bovine serum fbs,1,1.0,1,1,0
medium_components_SUB,growth media component,fgf,4,1.0,1,1,0
medium_components_SUB,growth media component,fgf4,1,1.0,1,1,0
medium_components_SUB,growth media component,2-mercaptoethanol,1,1.0,1,1,0
medium_components_SUB,growth media component,activin a,1,1.0,1,1,0
medium_components_SUB,growth media component,bmp4,1,1.0,1,1,0
medium_components_SUB,growth media component,bovine pituitary extract,1,1.0,2,2,0
medium_components_SUB,growth media component,calcium chloride,1,1.0,1,1,0
medium_components_SUB,growth media component,dexamethasone dex,1,1.0,1,1,0
medium_components_SUB,growth media component,erythroid expansion supplement,1,1.0,2,2,0
medium_components_SUB,growth media component,flt-3l,1,1.0,2,2,0
medium_components_SUB,growth media component,heparin,1,1.0,1,1,0
medium_components_SUB,growth media component,hepes,1,1.0,1,1,0
medium_components_SUB,growth media component,hgf,1,1.0,2,2,0
medium_components_SUB,growth media component,hydrocortisone,1,1.0,2,2,0
medium_components_SUB,growth media component,il-1beta,1,1.0,1,1,0
medium_components_SUB,growth media component,il7,1,1.0,1,1,0
medium_components_SUB,growth media component,insulin,6,1.0,1,1,0
medium_components_SUB,growth media component,interleukin 6,1,1.0,1,1,0
medium_components_SUB,growth media component,l-ascorbic acid,1,1.0,1,1,0
medium_components_SUB,growth media component,laminin,1,1.0,1,1,0
medium_components_SUB,growth media component,nahco3,1,1.0,1,1,0
medium_components_SUB,growth media component,neural supplement,4,1.0,2,3,0
medium_components_SUB,growth media component,nicotinamide,1,1.0,1,1,0
medium_components_SUB,growth media component,non-essential amino acids,3,1.0,2,3,0
medium_components_SUB,growth media component,poly-l-lysine,1,1.0,1,1,0
medium_components_SUB,growth media component,poly-l-ornithine,1,1.0,1,1,0
medium_components_SUB,growth media component,pyruvate,2,1.0,1,1,0
medium_components_SUB,growth media component,retinoic acid ra,1,1.0,2,2,0
medium_components_SUB,growth media component,serum,10,1.0,1,1,0
medium_components_SUB,growth media component,stem cell factor,1,1.0,1,1,0
medium_components_SUB,growth media component,thrombopoietin,1,1.0,1,1,0
medium_components_SUB,growth media component,transferrin,2,1.0,2,3,0
medium_components_SUB,growth media component,wnt3a,1,1.0,2,2,0
medium_components_SUB,growth media component,y-27632,1,1.0,1,1,0
medium_components_SUB,growth media component,insulin-transferrin,2,1.0,2,3,0
medium_components_SUB,growth media component,insulin-transferrin-selenium-ethanolamine,1,1.0,2,2,0
medium_components_SUB,growth media component,penicillin g,1,1.0,1,1,0
medium_components_SUB,growth media component,sodium pyruvate,1,1.0,2,2,0
medium_components_SUB,growth media component,chelated horse serum,1,1.0,2,3,0
medium_components_SUB,growth media component,mcdb 131,1,1.0,1,1,0
medium_components_SUB,growth media component,alpha-mem,1,1.0,1,2,0
medium_components_SUB,growth media component,gibcotm,1,1.0,1,1,0
medium_components_SUB,b27,b27 without vitamin a,4,1.0,2,4,0
medium_components_SUB,b27,b27 serum,8,1.0,1,2,0
medium_components_SUB,neural supplement,b27,6,1.0,2,5,0
medium_components_SUB,neural supplement,b27 without vitamin a,2,1.0,2,5,0
medium_components_SUB,neural supplement,b27 serum,4,1.0,1,3,0
medium_components_SUB,b27 serum,b27 without vitamin a,6,1.0,1,2,1
medium_components_SUB,fgf,basic fibroblast growth factor bfgf,4,1.0,2,3,0
medium_components_SUB,fgf,human basic fibroblast growth factor,2,1.0,2,3,0
medium_components_SUB,fgf,fgf4,2,1.0,2,2,0
medium_components_SUB,basic fibroblast growth factor bfgf,human basic fibroblast growth factor,3,1.0,2,4,0
medium_components_SUB,bsa,bsa faction v,2,1.0,2,2,0
medium_components_SUB,dmem,"dmef12 (dmef12, dmemhams f-12 5050 mix dmemf12, medium 154)",4,0.0,1,3,0
medium_components_SUB,dmem,dmem 1x,6,1.0,2,6,0
medium_components_SUB,dmem,dmem high glucose,2,1.0,2,5,0
medium_components_SUB,dmem,phenol-red free dmem,2,1.0,2,4,0
medium_components_SUB,dmem,dmem media mediatech-cellgro,2,1.0,2,5,0
medium_components_SUB,dmem,dmem media sigma d6546,2,1.0,2,5,0
medium_components_SUB,dmem,dmemlow glucose,2,1.0,1,2,0
medium_components_SUB,dmem,dmemrpmi,2,1.0,1,3,0
medium_components_SUB,"dmef12 (dmef12, dmemhams f-12 5050 mix dmemf12, medium 154)",knockout dmemf12,4,1.0,2,6,0
medium_components_SUB,minimal essential media,"dmef12 (dmef12, dmemhams f-12 5050 mix dmemf12, medium 154)",2,0.0,1,3,0
medium_components_SUB,minimal essential media,dmem,10,0.6666666666666666,1,3,0
medium_components_SUB,minimal essential media,dmem 1x,3,0.5,1,3,0
medium_components_SUB,minimal essential media,dmem high glucose,1,1.0,1,2,0
