dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
medium_components_SUB,antibiotics,antibiotic-antimycotic,8,1.0,1,1,0
medium_components_SUB,antibiotics,ps,2,1.0,1,2,0
medium_components_SUB,antibiotics,penicillin,4,1.0,2,4,0
medium_components_SUB,antibiotics,puromycin,2,1.0,2,4,0
medium_components_SUB,antibiotics,streptmycine,2,1.0,2,4,0
medium_components_SUB,antibiotics,penicillin g,2,1.0,2,4,0
medium_components_SUB,antibiotic-antimycotic,ps,3,1.0,1,2,0
medium_components_SUB,antibiotic-antimycotic,penicillin,6,1.0,1,2,1
medium_components_SUB,antibiotic-antimycotic,penicillin g,3,1.0,1,2,1
medium_components_SUB,growth media component,antibiotic-antimycotic,4,0.6666666666666666,2,3,0
medium_components_SUB,growth media component,b27,3,1.0,2,5,0
medium_components_SUB,growth media component,b27 serum,1,1.0,2,4,0
medium_components_SUB,growth media component,b27 without vitamin a,1,1.0,2,3,0
medium_components_SUB,growth media component,basic fibroblast growth factor bfgf,2,1.0,2,4,0
medium_components_SUB,growth media component,endothelial growth media-2,3,0.0,1,2,0
medium_components_SUB,growth media component,epidermal growth factor egf,2,1.0,2,4,0
medium_components_SUB,growth media component,human recombinant epidermal growth factor,1,1.0,2,3,0
medium_components_SUB,growth media component,fbs,6,1.0,2,4,0
medium_components_SUB,growth media component,fgf,4,1.0,2,4,0
medium_components_SUB,growth media component,fgf4,1,1.0,2,4,0
medium_components_SUB,growth media component,glutamax,1,1.0,2,4,0
medium_components_SUB,growth media component,antibiotics,7,0.8333333333333334,1,2,0
medium_components_SUB,growth media component,penicillin,2,1.0,1,2,0
medium_components_SUB,growth media component,puromycin,1,1.0,1,2,0
medium_components_SUB,growth media component,streptmycine,1,1.0,1,2,0
medium_components_SUB,growth media component,human basic fibroblast growth factor,1,1.0,1,2,0
medium_components_SUB,growth media component,bsa,2,1.0,1,2,0
medium_components_SUB,growth media component,bsa faction v,1,1.0,1,2,0
medium_components_SUB,growth media component,charcoal filtered fbs,1,1.0,1,2,0
medium_components_SUB,growth media component,fbs sigma f7524,1,1.0,1,2,0
medium_components_SUB,growth media component,heat inactivated fetal calf serum,1,1.0,1,2,0
medium_components_SUB,growth media component,new zealand cosmic calf serum fcs thermo fisher scientific australia scoresby vic australia,1,1.0,1,2,0
medium_components_SUB,growth media component,us origin fetal bovine serum fbs,1,1.0,1,2,0
medium_components_SUB,growth media component,glutamin,2,1.0,1,2,0
medium_components_SUB,growth media component,2-mercaptoethanol,1,1.0,2,3,0
medium_components_SUB,growth media component,activin a,1,1.0,1,2,0
medium_components_SUB,growth media component,bmp4,1,1.0,2,3,0
medium_components_SUB,growth media component,bovine pituitary extract,1,1.0,2,3,0
medium_components_SUB,growth media component,calcium chloride,1,1.0,2,3,0
medium_components_SUB,growth media component,dexamethasone dex,1,1.0,2,3,0
medium_components_SUB,growth media component,erythroid expansion supplement,1,1.0,2,3,0
medium_components_SUB,growth media component,flt-3l,1,1.0,2,3,0
medium_components_SUB,growth media component,heparin,1,1.0,2,3,0
medium_components_SUB,growth media component,hepes,1,1.0,2,3,0
medium_components_SUB,growth media component,hgf,1,1.0,1,2,0
medium_components_SUB,growth media component,hydrocortisone,1,1.0,1,2,0
medium_components_SUB,growth media component,il-1beta,1,1.0,1,2,0
medium_components_SUB,growth media component,il7,1,1.0,1,2,0
medium_components_SUB,growth media component,insulin,1,1.0,2,3,0
medium_components_SUB,growth media component,interleukin 6,1,1.0,1,2,0
medium_components_SUB,growth media component,l-ascorbic acid,1,1.0,1,2,0
medium_components_SUB,growth media component,laminin,1,1.0,2,3,0
medium_components_SUB,growth media component,nahco3,1,1.0,1,2,0
medium_components_SUB,growth media component,neural supplement,4,1.0,2,5,0
medium_components_SUB,growth media component,nicotinamide,1,1.0,2,3,0
medium_components_SUB,growth media component,non-essential amino acids,3,1.0,2,4,0
medium_components_SUB,growth media component,pbs,1,1.0,2,3,0
medium_components_SUB,growth media component,poly-l-lysine,1,1.0,1,2,0
medium_components_SUB,growth media component,poly-l-ornithine,1,1.0,1,2,0
medium_components_SUB,growth media component,pyruvate,2,1.0,1,2,0
