dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
medium_components_SUB,antibiotics,ps,1,1.0,1,2,0
medium_components_SUB,antibiotics,penicillin,2,1.0,1,2,0
medium_components_SUB,antibiotics,puromycin,1,1.0,1,1,0
medium_components_SUB,antibiotics,streptmycine,1,1.0,1,2,0
medium_components_SUB,antibiotics,penicillin g,1,1.0,1,1,0
medium_components_SUB,antibiotic-antimycotic,ps,1,1.0,1,2,0
medium_components_SUB,antibiotic-antimycotic,streptmycine,1,1.0,1,2,1
medium_components_SUB,penicillin,penicillin g,2,1.0,1,1,0
medium_components_SUB,growth media component,b27,3,1.0,1,1,0
medium_components_SUB,growth media component,b27 serum,2,1.0,1,2,0
medium_components_SUB,growth media component,b27 without vitamin a,1,1.0,1,2,0
medium_components_SUB,growth media component,fbs,5,0.25,1,2,0
medium_components_SUB,growth media component,fbs sigma f7524,1,1.0,1,2,0
medium_components_SUB,growth media component,new zealand cosmic calf serum fcs thermo fisher scientific australia scoresby vic australia,1,1.0,1,1,0
medium_components_SUB,growth media component,fgf,4,0.0,1,1,0
medium_components_SUB,growth media component,glutamax,1,1.0,1,2,0
medium_components_SUB,growth media component,activin a,1,1.0,1,1,0
medium_components_SUB,growth media component,bmp4,1,1.0,1,1,0
medium_components_SUB,growth media component,bovine pituitary extract,1,1.0,1,2,0
medium_components_SUB,growth media component,erythroid expansion supplement,1,1.0,1,1,0
medium_components_SUB,growth media component,flt-3l,1,1.0,1,1,0
medium_components_SUB,growth media component,hepes,1,1.0,1,1,0
medium_components_SUB,growth media component,hgf,1,1.0,1,1,0
medium_components_SUB,growth media component,neural supplement,4,1.0,1,2,0
medium_components_SUB,growth media component,nicotinamide,1,1.0,1,1,0
medium_components_SUB,growth media component,retinoic acid ra,1,1.0,1,1,0
medium_components_SUB,growth media component,serum,8,0.5714285714285714,1,1,0
medium_components_SUB,growth media component,stem cell factor,1,1.0,1,1,0
medium_components_SUB,growth media component,insulin-transferrin,2,1.0,1,1,0
medium_components_SUB,growth media component,insulin-transferrin-selenium-ethanolamine,1,1.0,1,2,0
medium_components_SUB,growth media component,chelated horse serum,1,1.0,1,2,0
medium_components_SUB,b27,b27 serum,6,1.0,1,2,0
medium_components_SUB,b27,b27 without vitamin a,3,1.0,1,2,0
medium_components_SUB,neural supplement,b27,6,0.5,1,1,0
medium_components_SUB,neural supplement,b27 without vitamin a,2,1.0,1,2,0
medium_components_SUB,b27 serum,b27 without vitamin a,4,1.0,1,2,1
medium_components_SUB,fgf,basic fibroblast growth factor bfgf,4,1.0,1,1,0
medium_components_SUB,fgf,human basic fibroblast growth factor,2,1.0,1,1,0
medium_components_SUB,fgf,fgf4,2,1.0,1,1,0
medium_components_SUB,basic fibroblast growth factor bfgf,human basic fibroblast growth factor,3,1.0,1,1,0
medium_components_SUB,bsa,bsa faction v,1,1.0,1,1,0
medium_components_SUB,dmem,dmef12,2,1.0,1,1,0
medium_components_SUB,dmem,dmem 1x,4,1.0,1,2,0
medium_components_SUB,dmem,dmem high glucose,2,1.0,1,2,0
medium_components_SUB,dmem,dmem media mediatech-cellgro,2,1.0,1,2,0
medium_components_SUB,dmem,dmem media sigma d6546,2,1.0,1,2,0
medium_components_SUB,dmem,dmemlow glucose,2,1.0,1,2,0
medium_components_SUB,dmem,dmemrpmi,2,1.0,1,2,0
medium_components_SUB,dmem,phenol-red free dmem,2,1.0,1,1,0
medium_components_SUB,hams-f12,dmef12,1,1.0,1,1,1
medium_components_SUB,hams-f12,dmemhams f-12 5050 mix dmemf12,1,1.0,1,2,1
medium_components_SUB,hams-f12,hm,1,1.0,1,2,1
medium_components_SUB,minimal essential media,dmemhams f-12 5050 mix dmemf12,1,1.0,1,2,0
medium_components_SUB,minimal essential media,dmem,9,0.875,1,2,0
medium_components_SUB,minimal essential media,dmem 1x,2,1.0,1,2,0
medium_components_SUB,minimal essential media,dmem high glucose,1,1.0,1,2,0
medium_components_SUB,minimal essential media,dmem media mediatech-cellgro,1,1.0,1,2,0
medium_components_SUB,minimal essential media,dmem media sigma d6546,1,1.0,1,2,0
medium_components_SUB,minimal essential media,dmemlow glucose,1,1.0,1,2,0
medium_components_SUB,minimal essential media,dmemrpmi,1,1.0,1,2,0
medium_components_SUB,minimal essential media,phenol-red free dmem,1,1.0,1,1,0
medium_components_SUB,minimal essential media,alpha-mem,1,1.0,1,1,0
medium_components_SUB,minimal essential media,"rpmi 1640 (rpmi 1640, rpmi medium cellgro)",1,1.0,1,2,1
medium_components_SUB,dmem 1x,dmem high glucose,3,1.0,1,1,1
medium_components_SUB,"egm2 growth medium lonza (egm2 growth medium lonza, endothelial growth media-2)",lonza egm-2 media cat no cc-3162,1,1.0,1,2,0
medium_components_SUB,epidermal growth factor egf,human recombinant epidermal growth factor,1,1.0,1,1,0
medium_components_SUB,serum,fbs,10,1.0,1,2,0
medium_components_SUB,serum,charcoal filtered fbs,2,1.0,1,2,0
medium_components_SUB,serum,fbs sigma f7524,2,1.0,1,2,0
medium_components_SUB,serum,heat inactivated fetal calf serum,2,1.0,1,1,0
medium_components_SUB,serum,new zealand cosmic calf serum fcs thermo fisher scientific australia scoresby vic australia,2,1.0,1,1,0
medium_components_SUB,serum,us origin fetal bovine serum fbs,2,1.0,1,2,0
medium_components_SUB,serum,chelated horse serum,2,1.0,1,3,0
medium_components_SUB,fbs,charcoal filtered fbs,3,1.0,1,2,0
medium_components_SUB,fbs,fbs sigma f7524,3,1.0,1,2,0
medium_components_SUB,fbs,heat inactivated fetal calf serum,3,1.0,1,1,0
medium_components_SUB,fbs,us origin fetal bovine serum fbs,3,1.0,1,2,0
medium_components_SUB,non-essential amino acids,glutamin,2,1.0,1,1,0
medium_components_SUB,non-essential amino acids,glutamax,1,1.0,1,2,0
medium_components_SUB,glutamin,glutamax,2,1.0,1,2,0
medium_components_SUB,neuronal stem cell medium,miami media 1a,1,1.0,1,2,1
medium_components_SUB,stemspan medium,stemspan ii,1,1.0,1,1,0
medium_components_SUB,insulin-transferrin,insulin-transferrin-selenium-ethanolamine,2,1.0,1,2,0
medium_components_SUB,insulin,insulin-transferrin-selenium-ethanolamine,1,1.0,1,2,0
medium_components_SUB,transferrin,insulin-transferrin-selenium-ethanolamine,1,1.0,1,2,0
medium_components_SUB,pyruvate,sodium pyruvate,1,1.0,1,1,0
medium_components_SUB,roswell park memorial institute rpmi,"rpmi 1640 (rpmi 1640, rpmi medium cellgro)",1,1.0,1,4,0
