dataset,source,type,count,total,proportion
CellOntology_SUB,gt,is_a,130,135,0.963
CellOntology_SUB,gt,is_a_inverted,1,135,0.0074
CellOntology_SUB,gt,other_related,4,135,0.0296
CellOntology_SUB,pred,is_a,638,662,0.9637
CellOntology_SUB,pred,other_related,19,662,0.0287
CellOntology_SUB,pred,unrelated,5,662,0.0076
LLMs4OL_MatOnto_SUB,gt,is_a,77,90,0.8556
LLMs4OL_MatOnto_SUB,gt,part_of,1,90,0.0111
LLMs4OL_MatOnto_SUB,gt,has_part,1,90,0.0111
LLMs4OL_MatOnto_SUB,gt,instance_of,4,90,0.0444
LLMs4OL_MatOnto_SUB,gt,other_related,6,90,0.0667
LLMs4OL_MatOnto_SUB,gt,unrelated,1,90,0.0111
LLMs4OL_MatOnto_SUB,pred,is_a,315,381,0.8268
LLMs4OL_MatOnto_SUB,pred,part_of,6,381,0.0157
LLMs4OL_MatOnto_SUB,pred,has_part,4,381,0.0105
LLMs4OL_MatOnto_SUB,pred,instance_of,9,381,0.0236
LLMs4OL_MatOnto_SUB,pred,attribute_of,11,381,0.0289
LLMs4OL_MatOnto_SUB,pred,made_of,1,381,0.0026
LLMs4OL_MatOnto_SUB,pred,synonym,1,381,0.0026
LLMs4OL_MatOnto_SUB,pred,other_related,28,381,0.0735
LLMs4OL_MatOnto_SUB,pred,unrelated,6,381,0.0157
LLMs4OL_OBI_SUB,gt,is_a,82,86,0.9535
LLMs4OL_OBI_SUB,gt,synonym,1,86,0.0116
LLMs4OL_OBI_SUB,gt,other_related,3,86,0.0349
LLMs4OL_OBI_SUB,pred,is_a,296,316,0.9367
LLMs4OL_OBI_SUB,pred,has_part,1,316,0.0032
LLMs4OL_OBI_SUB,pred,attribute_of,2,316,0.0063
LLMs4OL_OBI_SUB,pred,synonym,1,316,0.0032
LLMs4OL_OBI_SUB,pred,other_related,16,316,0.0506
LLMs4OL_PO_SUB,gt,is_a,82,88,0.9318
LLMs4OL_PO_SUB,gt,part_of,6,88,0.0682
LLMs4OL_PO_SUB,pred,is_a,283,314,0.9013
LLMs4OL_PO_SUB,pred,part_of,13,314,0.0414
LLMs4OL_PO_SUB,pred,has_part,7,314,0.0223
LLMs4OL_PO_SUB,pred,derives_from,1,314,0.0032
LLMs4OL_PO_SUB,pred,other_related,7,314,0.0223
LLMs4OL_PO_SUB,pred,unrelated,3,314,0.0096
LLMs4OL_SchemaOrg_SUB,gt,is_a,79,85,0.9294
LLMs4OL_SchemaOrg_SUB,gt,part_of,1,85,0.0118
LLMs4OL_SchemaOrg_SUB,gt,instance_of,1,85,0.0118
LLMs4OL_SchemaOrg_SUB,gt,other_related,4,85,0.0471
LLMs4OL_SchemaOrg_SUB,pred,is_a,188,241,0.7801
LLMs4OL_SchemaOrg_SUB,pred,part_of,1,241,0.0041
LLMs4OL_SchemaOrg_SUB,pred,instance_of,1,241,0.0041
LLMs4OL_SchemaOrg_SUB,pred,other_related,16,241,0.0664
LLMs4OL_SchemaOrg_SUB,pred,unrelated,35,241,0.1452
SemEvalFood_SUB,gt,is_a,94,102,0.9216
SemEvalFood_SUB,gt,part_of,1,102,0.0098
SemEvalFood_SUB,gt,made_of,4,102,0.0392
SemEvalFood_SUB,gt,synonym,2,102,0.0196
SemEvalFood_SUB,gt,other_related,1,102,0.0098
SemEvalFood_SUB,pred,is_a,300,369,0.813
SemEvalFood_SUB,pred,is_a_inverted,1,369,0.0027
SemEvalFood_SUB,pred,part_of,3,369,0.0081
SemEvalFood_SUB,pred,attribute_of,1,369,0.0027
SemEvalFood_SUB,pred,made_of,5,369,0.0136
SemEvalFood_SUB,pred,synonym,1,369,0.0027
SemEvalFood_SUB,pred,other_related,56,369,0.1518
SemEvalFood_SUB,pred,unrelated,2,369,0.0054
WordNetFood_SUB,gt,is_a,98,106,0.9245
WordNetFood_SUB,gt,part_of,1,106,0.0094
WordNetFood_SUB,gt,made_of,3,106,0.0283
WordNetFood_SUB,gt,synonym,2,106,0.0189
WordNetFood_SUB,gt,other_related,2,106,0.0189
WordNetFood_SUB,pred,is_a,346,447,0.774
WordNetFood_SUB,pred,part_of,7,447,0.0157
WordNetFood_SUB,pred,has_part,2,447,0.0045
WordNetFood_SUB,pred,attribute_of,5,447,0.0112
WordNetFood_SUB,pred,made_of,5,447,0.0112
WordNetFood_SUB,pred,other_related,78,447,0.1745
WordNetFood_SUB,pred,unrelated,4,447,0.0089
