dataset,source,type,count,total,proportion
CellOntology_SUB,gt,is_a,128,135,0.9481
CellOntology_SUB,gt,is_a_inverted,2,135,0.0148
CellOntology_SUB,gt,located_in,1,135,0.0074
CellOntology_SUB,gt,synonym,4,135,0.0296
CellOntology_SUB,pred,is_a,190,200,0.95
CellOntology_SUB,pred,is_a_inverted,1,200,0.005
CellOntology_SUB,pred,located_in,1,200,0.005
CellOntology_SUB,pred,derives_from,3,200,0.015
CellOntology_SUB,pred,other_related,4,200,0.02
CellOntology_SUB,pred,unrelated,1,200,0.005
LLMs4OL_MatOnto_SUB,gt,is_a,81,90,0.9
LLMs4OL_MatOnto_SUB,gt,part_of,2,90,0.0222
LLMs4OL_MatOnto_SUB,gt,instance_of,1,90,0.0111
LLMs4OL_MatOnto_SUB,gt,attribute_of,2,90,0.0222
LLMs4OL_MatOnto_SUB,gt,located_in,1,90,0.0111
LLMs4OL_MatOnto_SUB,gt,other_related,3,90,0.0333
LLMs4OL_MatOnto_SUB,pred,is_a,180,200,0.9
LLMs4OL_MatOnto_SUB,pred,part_of,2,200,0.01
LLMs4OL_MatOnto_SUB,pred,has_part,1,200,0.005
LLMs4OL_MatOnto_SUB,pred,instance_of,4,200,0.02
LLMs4OL_MatOnto_SUB,pred,attribute_of,5,200,0.025
LLMs4OL_MatOnto_SUB,pred,made_of,1,200,0.005
LLMs4OL_MatOnto_SUB,pred,located_in,1,200,0.005
LLMs4OL_MatOnto_SUB,pred,other_related,3,200,0.015
LLMs4OL_MatOnto_SUB,pred,unrelated,3,200,0.015
LLMs4OL_OBI_SUB,gt,is_a,81,86,0.9419
LLMs4OL_OBI_SUB,gt,instance_of,3,86,0.0349
LLMs4OL_OBI_SUB,gt,made_of,1,86,0.0116
LLMs4OL_OBI_SUB,gt,other_related,1,86,0.0116
LLMs4OL_OBI_SUB,pred,is_a,168,200,0.84
LLMs4OL_OBI_SUB,pred,has_part,1,200,0.005
LLMs4OL_OBI_SUB,pred,instance_of,8,200,0.04
LLMs4OL_OBI_SUB,pred,attribute_of,3,200,0.015
LLMs4OL_OBI_SUB,pred,other_related,15,200,0.075
LLMs4OL_OBI_SUB,pred,unrelated,5,200,0.025
LLMs4OL_PO_SUB,gt,is_a,76,88,0.8636
LLMs4OL_PO_SUB,gt,part_of,11,88,0.125
LLMs4OL_PO_SUB,gt,made_of,1,88,0.0114
LLMs4OL_PO_SUB,pred,is_a,157,200,0.785
LLMs4OL_PO_SUB,pred,part_of,38,200,0.19
LLMs4OL_PO_SUB,pred,has_part,1,200,0.005
LLMs4OL_PO_SUB,pred,made_of,1,200,0.005
LLMs4OL_PO_SUB,pred,located_in,1,200,0.005
LLMs4OL_PO_SUB,pred,derives_from,1,200,0.005
LLMs4OL_PO_SUB,pred,unrelated,1,200,0.005
LLMs4OL_SchemaOrg_SUB,gt,is_a,76,85,0.8941
LLMs4OL_SchemaOrg_SUB,gt,part_of,2,85,0.0235
LLMs4OL_SchemaOrg_SUB,gt,instance_of,4,85,0.0471
LLMs4OL_SchemaOrg_SUB,gt,synonym,1,85,0.0118
LLMs4OL_SchemaOrg_SUB,gt,other_related,1,85,0.0118
LLMs4OL_SchemaOrg_SUB,gt,unrelated,1,85,0.0118
LLMs4OL_SchemaOrg_SUB,pred,is_a,166,197,0.8426
LLMs4OL_SchemaOrg_SUB,pred,part_of,4,197,0.0203
LLMs4OL_SchemaOrg_SUB,pred,instance_of,4,197,0.0203
LLMs4OL_SchemaOrg_SUB,pred,attribute_of,1,197,0.0051
LLMs4OL_SchemaOrg_SUB,pred,located_in,6,197,0.0305
LLMs4OL_SchemaOrg_SUB,pred,other_related,15,197,0.0761
LLMs4OL_SchemaOrg_SUB,pred,unrelated,1,197,0.0051
SemEvalFood_SUB,gt,is_a,82,102,0.8039
SemEvalFood_SUB,gt,part_of,3,102,0.0294
SemEvalFood_SUB,gt,attribute_of,2,102,0.0196
SemEvalFood_SUB,gt,made_of,7,102,0.0686
SemEvalFood_SUB,gt,synonym,7,102,0.0686
SemEvalFood_SUB,gt,other_related,1,102,0.0098
SemEvalFood_SUB,pred,is_a,158,200,0.79
SemEvalFood_SUB,pred,part_of,6,200,0.03
SemEvalFood_SUB,pred,made_of,8,200,0.04
SemEvalFood_SUB,pred,synonym,3,200,0.015
SemEvalFood_SUB,pred,other_related,21,200,0.105
SemEvalFood_SUB,pred,unrelated,4,200,0.02
WordNetFood_SUB,gt,is_a,90,106,0.8491
WordNetFood_SUB,gt,part_of,5,106,0.0472
WordNetFood_SUB,gt,made_of,4,106,0.0377
WordNetFood_SUB,gt,synonym,2,106,0.0189
WordNetFood_SUB,gt,other_related,5,106,0.0472
WordNetFood_SUB,pred,is_a,119,200,0.595
WordNetFood_SUB,pred,part_of,20,200,0.1
WordNetFood_SUB,pred,made_of,8,200,0.04
WordNetFood_SUB,pred,other_related,52,200,0.26
WordNetFood_SUB,pred,unrelated,1,200,0.005
