dataset,source,type,count,total,proportion
CellOntology_SUB,gt,is_a,130,135,0.963
CellOntology_SUB,gt,is_a_inverted,1,135,0.0074
CellOntology_SUB,gt,other_related,4,135,0.0296
CellOntology_SUB,pred,is_a,727,736,0.9878
CellOntology_SUB,pred,other_related,5,736,0.0068
CellOntology_SUB,pred,unrelated,4,736,0.0054
LLMs4OL_MatOnto_SUB,gt,is_a,77,90,0.8556
LLMs4OL_MatOnto_SUB,gt,part_of,1,90,0.0111
LLMs4OL_MatOnto_SUB,gt,has_part,1,90,0.0111
LLMs4OL_MatOnto_SUB,gt,instance_of,4,90,0.0444
LLMs4OL_MatOnto_SUB,gt,other_related,6,90,0.0667
LLMs4OL_MatOnto_SUB,gt,unrelated,1,90,0.0111
LLMs4OL_MatOnto_SUB,pred,is_a,332,350,0.9486
LLMs4OL_MatOnto_SUB,pred,has_part,1,350,0.0029
LLMs4OL_MatOnto_SUB,pred,instance_of,7,350,0.02
LLMs4OL_MatOnto_SUB,pred,attribute_of,2,350,0.0057
LLMs4OL_MatOnto_SUB,pred,made_of,1,350,0.0029
LLMs4OL_MatOnto_SUB,pred,synonym,1,350,0.0029
LLMs4OL_MatOnto_SUB,pred,other_related,5,350,0.0143
LLMs4OL_MatOnto_SUB,pred,unrelated,1,350,0.0029
LLMs4OL_OBI_SUB,gt,is_a,82,86,0.9535
LLMs4OL_OBI_SUB,gt,synonym,1,86,0.0116
LLMs4OL_OBI_SUB,gt,other_related,3,86,0.0349
LLMs4OL_OBI_SUB,pred,is_a,367,381,0.9633
LLMs4OL_OBI_SUB,pred,other_related,14,381,0.0367
LLMs4OL_PO_SUB,gt,is_a,82,88,0.9318
LLMs4OL_PO_SUB,gt,part_of,6,88,0.0682
LLMs4OL_PO_SUB,pred,is_a,457,473,0.9662
LLMs4OL_PO_SUB,pred,part_of,13,473,0.0275
LLMs4OL_PO_SUB,pred,other_related,2,473,0.0042
LLMs4OL_PO_SUB,pred,unrelated,1,473,0.0021
LLMs4OL_SchemaOrg_SUB,gt,is_a,79,85,0.9294
LLMs4OL_SchemaOrg_SUB,gt,part_of,1,85,0.0118
LLMs4OL_SchemaOrg_SUB,gt,instance_of,1,85,0.0118
LLMs4OL_SchemaOrg_SUB,gt,other_related,4,85,0.0471
LLMs4OL_SchemaOrg_SUB,pred,is_a,181,188,0.9628
LLMs4OL_SchemaOrg_SUB,pred,instance_of,1,188,0.0053
LLMs4OL_SchemaOrg_SUB,pred,other_related,4,188,0.0213
LLMs4OL_SchemaOrg_SUB,pred,unrelated,2,188,0.0106
SemEvalFood_SUB,gt,is_a,94,102,0.9216
SemEvalFood_SUB,gt,part_of,1,102,0.0098
SemEvalFood_SUB,gt,made_of,4,102,0.0392
SemEvalFood_SUB,gt,synonym,2,102,0.0196
SemEvalFood_SUB,gt,other_related,1,102,0.0098
SemEvalFood_SUB,pred,is_a,337,375,0.8987
SemEvalFood_SUB,pred,part_of,9,375,0.024
SemEvalFood_SUB,pred,made_of,2,375,0.0053
SemEvalFood_SUB,pred,synonym,3,375,0.008
SemEvalFood_SUB,pred,other_related,20,375,0.0533
SemEvalFood_SUB,pred,unrelated,4,375,0.0107
WordNetFood_SUB,gt,is_a,98,106,0.9245
WordNetFood_SUB,gt,part_of,1,106,0.0094
WordNetFood_SUB,gt,made_of,3,106,0.0283
WordNetFood_SUB,gt,synonym,2,106,0.0189
WordNetFood_SUB,gt,other_related,2,106,0.0189
WordNetFood_SUB,pred,is_a,348,364,0.956
WordNetFood_SUB,pred,part_of,5,364,0.0137
WordNetFood_SUB,pred,made_of,4,364,0.011
WordNetFood_SUB,pred,synonym,1,364,0.0027
WordNetFood_SUB,pred,other_related,5,364,0.0137
WordNetFood_SUB,pred,unrelated,1,364,0.0027
