dataset,source,type,count,total,proportion
CellOntology_SUB,gt,is_a,130,135,0.963
CellOntology_SUB,gt,is_a_inverted,1,135,0.0074
CellOntology_SUB,gt,other_related,4,135,0.0296
CellOntology_SUB,pred,is_a,448,484,0.9256
CellOntology_SUB,pred,other_related,29,484,0.0599
CellOntology_SUB,pred,unrelated,7,484,0.0145
LLMs4OL_MatOnto_SUB,gt,is_a,77,90,0.8556
LLMs4OL_MatOnto_SUB,gt,part_of,1,90,0.0111
LLMs4OL_MatOnto_SUB,gt,has_part,1,90,0.0111
LLMs4OL_MatOnto_SUB,gt,instance_of,4,90,0.0444
LLMs4OL_MatOnto_SUB,gt,other_related,6,90,0.0667
LLMs4OL_MatOnto_SUB,gt,unrelated,1,90,0.0111
LLMs4OL_MatOnto_SUB,pred,is_a,245,287,0.8537
LLMs4OL_MatOnto_SUB,pred,has_part,1,287,0.0035
LLMs4OL_MatOnto_SUB,pred,instance_of,14,287,0.0488
LLMs4OL_MatOnto_SUB,pred,attribute_of,7,287,0.0244
LLMs4OL_MatOnto_SUB,pred,synonym,2,287,0.007
LLMs4OL_MatOnto_SUB,pred,other_related,13,287,0.0453
LLMs4OL_MatOnto_SUB,pred,unrelated,5,287,0.0174
LLMs4OL_OBI_SUB,gt,is_a,82,86,0.9535
LLMs4OL_OBI_SUB,gt,synonym,1,86,0.0116
LLMs4OL_OBI_SUB,gt,other_related,3,86,0.0349
LLMs4OL_OBI_SUB,pred,is_a,272,364,0.7473
LLMs4OL_OBI_SUB,pred,is_a_inverted,1,364,0.0027
LLMs4OL_OBI_SUB,pred,attribute_of,2,364,0.0055
LLMs4OL_OBI_SUB,pred,synonym,1,364,0.0027
LLMs4OL_OBI_SUB,pred,other_related,77,364,0.2115
LLMs4OL_OBI_SUB,pred,unrelated,11,364,0.0302
LLMs4OL_PO_SUB,gt,is_a,82,88,0.9318
LLMs4OL_PO_SUB,gt,part_of,6,88,0.0682
LLMs4OL_PO_SUB,pred,is_a,292,342,0.8538
LLMs4OL_PO_SUB,pred,is_a_inverted,1,342,0.0029
LLMs4OL_PO_SUB,pred,part_of,22,342,0.0643
LLMs4OL_PO_SUB,pred,has_part,7,342,0.0205
LLMs4OL_PO_SUB,pred,located_in,2,342,0.0058
LLMs4OL_PO_SUB,pred,derives_from,1,342,0.0029
LLMs4OL_PO_SUB,pred,other_related,7,342,0.0205
LLMs4OL_PO_SUB,pred,unrelated,10,342,0.0292
LLMs4OL_SchemaOrg_SUB,gt,is_a,79,85,0.9294
LLMs4OL_SchemaOrg_SUB,gt,part_of,1,85,0.0118
LLMs4OL_SchemaOrg_SUB,gt,instance_of,1,85,0.0118
LLMs4OL_SchemaOrg_SUB,gt,other_related,4,85,0.0471
LLMs4OL_SchemaOrg_SUB,pred,is_a,169,197,0.8579
LLMs4OL_SchemaOrg_SUB,pred,part_of,2,197,0.0102
LLMs4OL_SchemaOrg_SUB,pred,other_related,18,197,0.0914
LLMs4OL_SchemaOrg_SUB,pred,unrelated,8,197,0.0406
SemEvalFood_SUB,gt,is_a,94,102,0.9216
SemEvalFood_SUB,gt,part_of,1,102,0.0098
SemEvalFood_SUB,gt,made_of,4,102,0.0392
SemEvalFood_SUB,gt,synonym,2,102,0.0196
SemEvalFood_SUB,gt,other_related,1,102,0.0098
SemEvalFood_SUB,pred,is_a,205,292,0.7021
SemEvalFood_SUB,pred,part_of,8,292,0.0274
SemEvalFood_SUB,pred,made_of,7,292,0.024
SemEvalFood_SUB,pred,synonym,1,292,0.0034
SemEvalFood_SUB,pred,other_related,62,292,0.2123
SemEvalFood_SUB,pred,unrelated,9,292,0.0308
WordNetFood_SUB,gt,is_a,98,106,0.9245
WordNetFood_SUB,gt,part_of,1,106,0.0094
WordNetFood_SUB,gt,made_of,3,106,0.0283
WordNetFood_SUB,gt,synonym,2,106,0.0189
WordNetFood_SUB,gt,other_related,2,106,0.0189
WordNetFood_SUB,pred,is_a,180,306,0.5882
WordNetFood_SUB,pred,part_of,77,306,0.2516
WordNetFood_SUB,pred,made_of,3,306,0.0098
WordNetFood_SUB,pred,other_related,44,306,0.1438
WordNetFood_SUB,pred,unrelated,2,306,0.0065
