dataset,source,type,count,total,proportion
CellOntology_SUB,gt,is_a,128,135,0.9481
CellOntology_SUB,gt,is_a_inverted,2,135,0.0148
CellOntology_SUB,gt,located_in,1,135,0.0074
CellOntology_SUB,gt,synonym,4,135,0.0296
CellOntology_SUB,pred,is_a,696,736,0.9457
CellOntology_SUB,pred,is_a_inverted,2,736,0.0027
CellOntology_SUB,pred,located_in,1,736,0.0014
CellOntology_SUB,pred,derives_from,2,736,0.0027
CellOntology_SUB,pred,synonym,8,736,0.0109
CellOntology_SUB,pred,other_related,18,736,0.0245
CellOntology_SUB,pred,unrelated,9,736,0.0122
LLMs4OL_MatOnto_SUB,gt,is_a,81,90,0.9
LLMs4OL_MatOnto_SUB,gt,part_of,2,90,0.0222
LLMs4OL_MatOnto_SUB,gt,instance_of,1,90,0.0111
LLMs4OL_MatOnto_SUB,gt,attribute_of,2,90,0.0222
LLMs4OL_MatOnto_SUB,gt,located_in,1,90,0.0111
LLMs4OL_MatOnto_SUB,gt,other_related,3,90,0.0333
LLMs4OL_MatOnto_SUB,pred,is_a,302,350,0.8629
LLMs4OL_MatOnto_SUB,pred,part_of,1,350,0.0029
LLMs4OL_MatOnto_SUB,pred,instance_of,9,350,0.0257
LLMs4OL_MatOnto_SUB,pred,attribute_of,10,350,0.0286
LLMs4OL_MatOnto_SUB,pred,made_of,2,350,0.0057
LLMs4OL_MatOnto_SUB,pred,other_related,9,350,0.0257
LLMs4OL_MatOnto_SUB,pred,unrelated,17,350,0.0486
LLMs4OL_OBI_SUB,gt,is_a,81,86,0.9419
LLMs4OL_OBI_SUB,gt,instance_of,3,86,0.0349
LLMs4OL_OBI_SUB,gt,made_of,1,86,0.0116
LLMs4OL_OBI_SUB,gt,other_related,1,86,0.0116
LLMs4OL_OBI_SUB,pred,is_a,323,381,0.8478
LLMs4OL_OBI_SUB,pred,part_of,1,381,0.0026
LLMs4OL_OBI_SUB,pred,instance_of,12,381,0.0315
LLMs4OL_OBI_SUB,pred,attribute_of,13,381,0.0341
LLMs4OL_OBI_SUB,pred,made_of,13,381,0.0341
LLMs4OL_OBI_SUB,pred,synonym,1,381,0.0026
LLMs4OL_OBI_SUB,pred,other_related,12,381,0.0315
LLMs4OL_OBI_SUB,pred,unrelated,6,381,0.0157
LLMs4OL_PO_SUB,gt,is_a,76,88,0.8636
LLMs4OL_PO_SUB,gt,part_of,11,88,0.125
LLMs4OL_PO_SUB,gt,made_of,1,88,0.0114
LLMs4OL_PO_SUB,pred,is_a,401,473,0.8478
LLMs4OL_PO_SUB,pred,part_of,67,473,0.1416
LLMs4OL_PO_SUB,pred,attribute_of,1,473,0.0021
LLMs4OL_PO_SUB,pred,located_in,1,473,0.0021
LLMs4OL_PO_SUB,pred,derives_from,2,473,0.0042
LLMs4OL_PO_SUB,pred,unrelated,1,473,0.0021
LLMs4OL_SchemaOrg_SUB,gt,is_a,76,85,0.8941
LLMs4OL_SchemaOrg_SUB,gt,part_of,2,85,0.0235
LLMs4OL_SchemaOrg_SUB,gt,instance_of,4,85,0.0471
LLMs4OL_SchemaOrg_SUB,gt,synonym,1,85,0.0118
LLMs4OL_SchemaOrg_SUB,gt,other_related,1,85,0.0118
LLMs4OL_SchemaOrg_SUB,gt,unrelated,1,85,0.0118
LLMs4OL_SchemaOrg_SUB,pred,is_a,168,188,0.8936
LLMs4OL_SchemaOrg_SUB,pred,part_of,2,188,0.0106
LLMs4OL_SchemaOrg_SUB,pred,has_part,1,188,0.0053
LLMs4OL_SchemaOrg_SUB,pred,instance_of,6,188,0.0319
LLMs4OL_SchemaOrg_SUB,pred,attribute_of,1,188,0.0053
LLMs4OL_SchemaOrg_SUB,pred,located_in,3,188,0.016
LLMs4OL_SchemaOrg_SUB,pred,synonym,1,188,0.0053
LLMs4OL_SchemaOrg_SUB,pred,other_related,4,188,0.0213
LLMs4OL_SchemaOrg_SUB,pred,unrelated,2,188,0.0106
SemEvalFood_SUB,gt,is_a,82,102,0.8039
SemEvalFood_SUB,gt,part_of,3,102,0.0294
SemEvalFood_SUB,gt,attribute_of,2,102,0.0196
SemEvalFood_SUB,gt,made_of,7,102,0.0686
SemEvalFood_SUB,gt,synonym,7,102,0.0686
SemEvalFood_SUB,gt,other_related,1,102,0.0098
SemEvalFood_SUB,pred,is_a,313,375,0.8347
SemEvalFood_SUB,pred,part_of,19,375,0.0507
SemEvalFood_SUB,pred,made_of,7,375,0.0187
SemEvalFood_SUB,pred,synonym,10,375,0.0267
SemEvalFood_SUB,pred,other_related,23,375,0.0613
SemEvalFood_SUB,pred,unrelated,3,375,0.008
WordNetFood_SUB,gt,is_a,90,106,0.8491
WordNetFood_SUB,gt,part_of,5,106,0.0472
WordNetFood_SUB,gt,made_of,4,106,0.0377
WordNetFood_SUB,gt,synonym,2,106,0.0189
WordNetFood_SUB,gt,other_related,5,106,0.0472
WordNetFood_SUB,pred,is_a,324,364,0.8901
WordNetFood_SUB,pred,part_of,11,364,0.0302
WordNetFood_SUB,pred,attribute_of,1,364,0.0027
WordNetFood_SUB,pred,made_of,6,364,0.0165
WordNetFood_SUB,pred,synonym,2,364,0.0055
WordNetFood_SUB,pred,other_related,17,364,0.0467
WordNetFood_SUB,pred,unrelated,3,364,0.0082
