dataset,source,type,count,total,proportion
CellOntology_SUB,gt,is_a,128,135,0.9481
CellOntology_SUB,gt,is_a_inverted,2,135,0.0148
CellOntology_SUB,gt,located_in,1,135,0.0074
CellOntology_SUB,gt,synonym,4,135,0.0296
CellOntology_SUB,pred,is_a,455,484,0.9401
CellOntology_SUB,pred,is_a_inverted,2,484,0.0041
CellOntology_SUB,pred,located_in,3,484,0.0062
CellOntology_SUB,pred,derives_from,5,484,0.0103
CellOntology_SUB,pred,synonym,1,484,0.0021
CellOntology_SUB,pred,other_related,10,484,0.0207
CellOntology_SUB,pred,unrelated,8,484,0.0165
LLMs4OL_MatOnto_SUB,gt,is_a,81,90,0.9
LLMs4OL_MatOnto_SUB,gt,part_of,2,90,0.0222
LLMs4OL_MatOnto_SUB,gt,instance_of,1,90,0.0111
LLMs4OL_MatOnto_SUB,gt,attribute_of,2,90,0.0222
LLMs4OL_MatOnto_SUB,gt,located_in,1,90,0.0111
LLMs4OL_MatOnto_SUB,gt,other_related,3,90,0.0333
LLMs4OL_MatOnto_SUB,pred,is_a,256,287,0.892
LLMs4OL_MatOnto_SUB,pred,part_of,3,287,0.0105
LLMs4OL_MatOnto_SUB,pred,has_part,1,287,0.0035
LLMs4OL_MatOnto_SUB,pred,instance_of,8,287,0.0279
LLMs4OL_MatOnto_SUB,pred,attribute_of,8,287,0.0279
LLMs4OL_MatOnto_SUB,pred,made_of,1,287,0.0035
LLMs4OL_MatOnto_SUB,pred,located_in,1,287,0.0035
LLMs4OL_MatOnto_SUB,pred,other_related,5,287,0.0174
LLMs4OL_MatOnto_SUB,pred,unrelated,4,287,0.0139
LLMs4OL_OBI_SUB,gt,is_a,81,86,0.9419
LLMs4OL_OBI_SUB,gt,instance_of,3,86,0.0349
LLMs4OL_OBI_SUB,gt,made_of,1,86,0.0116
LLMs4OL_OBI_SUB,gt,other_related,1,86,0.0116
LLMs4OL_OBI_SUB,pred,is_a,304,364,0.8352
LLMs4OL_OBI_SUB,pred,is_a_inverted,1,364,0.0027
LLMs4OL_OBI_SUB,pred,part_of,2,364,0.0055
LLMs4OL_OBI_SUB,pred,has_part,1,364,0.0027
LLMs4OL_OBI_SUB,pred,instance_of,11,364,0.0302
LLMs4OL_OBI_SUB,pred,attribute_of,11,364,0.0302
LLMs4OL_OBI_SUB,pred,synonym,1,364,0.0027
LLMs4OL_OBI_SUB,pred,other_related,24,364,0.0659
LLMs4OL_OBI_SUB,pred,unrelated,9,364,0.0247
LLMs4OL_PO_SUB,gt,is_a,76,88,0.8636
LLMs4OL_PO_SUB,gt,part_of,11,88,0.125
LLMs4OL_PO_SUB,gt,made_of,1,88,0.0114
LLMs4OL_PO_SUB,pred,is_a,280,342,0.8187
LLMs4OL_PO_SUB,pred,is_a_inverted,1,342,0.0029
LLMs4OL_PO_SUB,pred,part_of,54,342,0.1579
LLMs4OL_PO_SUB,pred,attribute_of,2,342,0.0058
LLMs4OL_PO_SUB,pred,made_of,2,342,0.0058
LLMs4OL_PO_SUB,pred,located_in,1,342,0.0029
LLMs4OL_PO_SUB,pred,derives_from,1,342,0.0029
LLMs4OL_PO_SUB,pred,unrelated,1,342,0.0029
LLMs4OL_SchemaOrg_SUB,gt,is_a,76,85,0.8941
LLMs4OL_SchemaOrg_SUB,gt,part_of,2,85,0.0235
LLMs4OL_SchemaOrg_SUB,gt,instance_of,4,85,0.0471
LLMs4OL_SchemaOrg_SUB,gt,synonym,1,85,0.0118
LLMs4OL_SchemaOrg_SUB,gt,other_related,1,85,0.0118
LLMs4OL_SchemaOrg_SUB,gt,unrelated,1,85,0.0118
LLMs4OL_SchemaOrg_SUB,pred,is_a,166,197,0.8426
LLMs4OL_SchemaOrg_SUB,pred,part_of,4,197,0.0203
LLMs4OL_SchemaOrg_SUB,pred,instance_of,4,197,0.0203
LLMs4OL_SchemaOrg_SUB,pred,attribute_of,1,197,0.0051
LLMs4OL_SchemaOrg_SUB,pred,located_in,6,197,0.0305
LLMs4OL_SchemaOrg_SUB,pred,other_related,15,197,0.0761
LLMs4OL_SchemaOrg_SUB,pred,unrelated,1,197,0.0051
SemEvalFood_SUB,gt,is_a,82,102,0.8039
SemEvalFood_SUB,gt,part_of,3,102,0.0294
SemEvalFood_SUB,gt,attribute_of,2,102,0.0196
SemEvalFood_SUB,gt,made_of,7,102,0.0686
SemEvalFood_SUB,gt,synonym,7,102,0.0686
SemEvalFood_SUB,gt,other_related,1,102,0.0098
SemEvalFood_SUB,pred,is_a,229,292,0.7842
SemEvalFood_SUB,pred,part_of,9,292,0.0308
SemEvalFood_SUB,pred,made_of,11,292,0.0377
SemEvalFood_SUB,pred,synonym,4,292,0.0137
SemEvalFood_SUB,pred,other_related,35,292,0.1199
SemEvalFood_SUB,pred,unrelated,4,292,0.0137
WordNetFood_SUB,gt,is_a,90,106,0.8491
WordNetFood_SUB,gt,part_of,5,106,0.0472
WordNetFood_SUB,gt,made_of,4,106,0.0377
WordNetFood_SUB,gt,synonym,2,106,0.0189
WordNetFood_SUB,gt,other_related,5,106,0.0472
WordNetFood_SUB,pred,is_a,175,306,0.5719
WordNetFood_SUB,pred,part_of,33,306,0.1078
WordNetFood_SUB,pred,made_of,11,306,0.0359
WordNetFood_SUB,pred,other_related,85,306,0.2778
WordNetFood_SUB,pred,unrelated,2,306,0.0065
