cluster,size,members,status,n_pred_components
"adult endothelial progenitor cell (adult endothelial progenitor cell, epc)",2,adult endothelial progenitor cell|epc,split,2
"afferent neuron (afferent neuron, input neuron)",2,afferent neuron|input neuron,merged,1
"alpha-beta t cell (alpha-beta t cell, alpha-beta t lymphocyte, alpha-beta t-cell, alpha-beta t-lymphocyte)",4,alpha-beta t cell|alpha-beta t lymphocyte|alpha-beta t-cell|alpha-beta t-lymphocyte,exact,1
"angioblastic mesenchymal cell (angioblastic mesenchymal cell, angioblast, chondroplast)",3,angioblast|angioblastic mesenchymal cell|chondroplast,split,3
"cd1a-positive dermal dendritic cell (cd1a-positive dermal dendritic cell, cd1a dermal dc)",2,cd1a dermal dc|cd1a-positive dermal dendritic cell,exact,1
"cerebral cortex neuron (cerebral cortex neuron, cortical neuron, neuron of cerebral cortex)",3,cerebral cortex neuron|cortical neuron|neuron of cerebral cortex,exact,1
"conventional dendritic cell (conventional dendritic cell, cdc, dc1, dendritic reticular cell, interdigitating cell, type 1 dc, veiled cell)",5,cdc|conventional dendritic cell|dc1|dendritic reticular cell|type 1 dc,split,5
"corneal epithelial cell (corneal epithelial cell, epithelial cell of cornea)",2,corneal epithelial cell|epithelial cell of cornea,exact,1
"epidermal cell (epidermal cell, cell of epidermis, epithelial cell of skin)",3,cell of epidermis|epidermal cell|epithelial cell of skin,exact,1
"epidermal keratinocyte (epidermal keratinocyte, keratincyte of epidermis, skin keratinocyte)",3,epidermal keratinocyte|keratincyte of epidermis|skin keratinocyte,split,2
"epithelial cell (epithelial cell, epitheliocyte)",2,epithelial cell|epitheliocyte,split,2
"garland cell (garland cell, garland nephrocyte)",2,garland cell|garland nephrocyte,split,2
"glandular epithelial cell of endometrium (glandular epithelial cell of endometrium, endometrial glandular epithelial cell, epithelial cell of endometrial gland)",3,endometrial glandular epithelial cell|epithelial cell of endometrial gland|glandular epithelial cell of endometrium,exact,1
"hematopoietic cell (hematopoietic cell, haematopoietic cell, haemopoietic cell, hemopoietic cell)",4,haematopoietic cell|haemopoietic cell|hematopoietic cell|hemopoietic cell,split,4
"immature conventional dendritic cell (immature conventional dendritic cell, immature myeloid dendritic cell)",2,immature conventional dendritic cell|immature myeloid dendritic cell,split,2
"intratelencephalic-projecting glutamatergic cortical neuron (intratelencephalic-projecting glutamatergic cortical neuron, it neuron)",2,intratelencephalic-projecting glutamatergic cortical neuron|it neuron,split,2
"l23-6 intratelencephalic projecting glutamatergic neuron (l23-6 intratelencephalic projecting glutamatergic neuron, l23-6 it projecting neuron)",2,l23-6 intratelencephalic projecting glutamatergic neuron|l23-6 it projecting neuron,exact,1
"l6 intratelencephalic projecting glutamatergic neuron (l6 intratelencephalic projecting glutamatergic neuron, l6 it)",2,l6 intratelencephalic projecting glutamatergic neuron|l6 it,split,2
"leukocyte (leukocyte, immune cell, leucocyte, wbc, white blood cell)",5,immune cell|leucocyte|leukocyte|wbc|white blood cell,merged,1
"mature alpha-beta t cell (mature alpha-beta t cell, mature alpha-beta t lymphocyte, mature alpha-beta t-cell, mature alpha-beta t-lymphocyte)",4,mature alpha-beta t cell|mature alpha-beta t lymphocyte|mature alpha-beta t-cell|mature alpha-beta t-lymphocyte,split,2
"mature t cell (mature t cell, cd3e-positive t cell, cd3epsilon t cell, mature t-cell)",3,cd3e-positive t cell|cd3epsilon t cell|mature t-cell,split,2
"mesenchymal stem cell (mesenchymal stem cell, bmsc, bone marrow stromal cells, cfu-f, colony-forming unit-fibroblast, marrow stromal cells, mesenchymal precursor cell, mesenchymal progenitor cells, mesenchymal stromal cell, mesenchymal stromal cells, msc, stem cells mesenchymal)",12,bmsc|bone marrow stromal cells|cfu-f|colony-forming unit-fibroblast|marrow stromal cells|mesenchymal precursor cell|mesenchymal progenitor cells|mesenchymal stem cell|mesenchymal stromal cell|mesenchymal stromal cells|msc|stem cells mesenchymal,split,4
"meso-epithelial cell (meso-epithelial cell, epithelial mesenchymal cell)",2,epithelial mesenchymal cell|meso-epithelial cell,split,2
"mononuclear leukocyte (mononuclear leukocyte, mononuclear cell, peripheral blood mononuclear cell)",3,mononuclear cell|mononuclear leukocyte|peripheral blood mononuclear cell,split,3
"multi fate stem cell (multi fate stem cell, multi-fate stem cell, multifate stem cell, multipotent cell, multipotent stem cell)",5,multi fate stem cell|multi-fate stem cell|multifate stem cell|multipotent cell|multipotent stem cell,split,2
"multinucleate cell (multinucleate cell, multinucleated cells, polynuclear cells)",3,multinucleate cell|multinucleated cells|polynuclear cells,split,3
"muscle cell (muscle cell, muscle fiber, myocyte)",3,muscle cell|muscle fiber|myocyte,split,3
"myeloid dendritic cell (myeloid dendritic cell, cd11ccd123- dc, interdigitating cell, mdc, veiled cell)",3,cd11ccd123- dc|mdc|myeloid dendritic cell,split,2
"neural stem cell (neural stem cell, neuronal stem cell, nsc)",3,neural stem cell|neuronal stem cell|nsc,split,2
"neuron (neuron, nerve cell)",2,nerve cell|neuron,split,2
"neuron of the forebrain (neuron of the forebrain, forebrain neuron)",2,forebrain neuron|neuron of the forebrain,exact,1
"plasmacytoid dendritic cell (plasmacytoid dendritic cell, dc2, interferon-producing cell, ipc, lymphoid dendritic cell, pdc, plasmacytoid monocyte, plasmacytoid t cell, t-associated plasma cell, type 2 dc)",10,dc2|interferon-producing cell|ipc|lymphoid dendritic cell|pdc|plasmacytoid dendritic cell|plasmacytoid monocyte|plasmacytoid t cell|t-associated plasma cell|type 2 dc,split,9
"professional antigen presenting cell (professional antigen presenting cell, apc)",2,apc|professional antigen presenting cell,split,2
"retinal bipolar neuron (retinal bipolar neuron, bc, bcs, bps)",4,bc|bcs|bps|retinal bipolar neuron,split,4
"smooth muscle cell (smooth muscle cell, myocytes smooth muscle, non-striated muscle cell, smcs, smooth muscle fiber)",4,myocytes smooth muscle|smcs|smooth muscle cell|smooth muscle fiber,split,3
"spermatid (spermatid, nematoblast)",2,nematoblast|spermatid,split,2
"stem cell (stem cell, animal stem cell)",2,animal stem cell|stem cell,split,2
"t cell (t cell, immature t cell, mature t cell, t lymphocyte, t-cell, t-lymphocyte)",5,immature t cell|t cell|t lymphocyte|t-cell|t-lymphocyte,split,2
"type 4 cone bipolar cell sensu mus (type 4 cone bipolar cell sensu mus, db3 cone bipolar cell)",2,db3 cone bipolar cell|type 4 cone bipolar cell sensu mus,split,2
