cluster,size,members,status,n_pred_components
"alcohol (alcohol, alcoholic drink, alcoholic beverage, intoxicant, inebriant)",5,alcohol|alcoholic beverage|alcoholic drink|inebriant|intoxicant,split,5
"b-complex vitamin (b-complex vitamin, b complex, vitamin b complex, vitamin b, b vitamin, b)",6,b|b complex|b vitamin|b-complex vitamin|vitamin b|vitamin b complex,split,4
"bean (bean, edible bean)",2,bean|edible bean,split,2
"belgian endive (belgian endive, french endive, witloof)",3,belgian endive|french endive|witloof,split,2
"beverage (beverage, drink, drinkable, potable)",4,beverage|drink|drinkable|potable,split,2
"candy (candy, confect)",2,candy|confect,merged,1
"chicory escarole (chicory escarole, endive, escarole)",3,chicory escarole|endive|escarole,split,2
"cider (cider, cyder)",2,cider|cyder,split,2
"citrus (citrus, citrus fruit, citrous fruit)",3,citrous fruit|citrus|citrus fruit,split,2
"dainty (dainty, delicacy, goody, kickshaw, treat)",5,dainty|delicacy|goody|kickshaw|treat,split,3
"dessert (dessert, sweet, afters)",2,afters|dessert,split,2
"flavorer (flavorer, flavourer, flavoring, flavouring, seasoner, seasoning)",6,flavorer|flavoring|flavourer|flavouring|seasoner|seasoning,split,3
"foodstuff (foodstuff, food product)",2,food product|foodstuff,merged,1
"greens (greens, green, leafy vegetable)",3,green|greens|leafy vegetable,split,3
"gumbo (gumbo, okra)",2,gumbo|okra,split,2
"ice cream (ice cream, icecream)",2,ice cream|icecream,split,2
"ingredient (ingredient, fixings)",2,fixings|ingredient,split,2
"julienne (julienne, julienne vegetable)",2,julienne|julienne vegetable,split,2
"multivitamin (multivitamin, multivitamin pill)",2,multivitamin|multivitamin pill,split,2
"mush (mush, cornmeal mush)",2,cornmeal mush|mush,split,2
"nutriment (nutriment, nourishment, nutrition, sustenance, aliment, alimentation, victuals)",7,aliment|alimentation|nourishment|nutriment|nutrition|sustenance|victuals,split,2
"plum pudding (plum pudding, christmas pudding)",2,christmas pudding|plum pudding,split,2
"produce (produce, green goods, green groceries, garden truck)",4,garden truck|green goods|green groceries|produce,split,4
"quandong (quandong, quandang, quantong, native peach)",4,native peach|quandang|quandong|quantong,split,4
"salad green (salad green, salad greens)",2,salad green|salad greens,split,2
"soy (soy, soybean, soya, soya bean)",4,soy|soya|soya bean|soybean,split,2
"spread (spread, paste)",2,paste|spread,split,2
"steak au poivre (steak au poivre, peppered steak, pepper steak)",3,pepper steak|peppered steak|steak au poivre,split,3
"vegetable (vegetable, veggie, veg)",3,veg|vegetable|veggie,split,2
"wine (wine, vino)",2,vino|wine,split,2
"yogurt (yogurt, yoghurt, yoghourt)",3,yoghourt|yoghurt|yogurt,exact,1
