parent,child,mutual
afferent neuron,geniculate ganglion vglut2 neuron,0
afferent neuron,input neuron,1
afferent neuron,sensory neuron,1
alpha-beta t cell,alpha-beta t lymphocyte,1
alpha-beta t cell,alpha-beta t-cell,1
alpha-beta t cell,alpha-beta t-lymphocyte,1
alpha-beta t cell,mature alpha-beta t cell,0
alpha-beta t cell,mature alpha-beta t lymphocyte,0
alpha-beta t cell,mature alpha-beta t-cell,0
alpha-beta t cell,mature alpha-beta t-lymphocyte,0
alpha-beta t lymphocyte,alpha-beta t cell,1
alpha-beta t lymphocyte,alpha-beta t-cell,1
alpha-beta t lymphocyte,alpha-beta t-lymphocyte,1
alpha-beta t lymphocyte,mature alpha-beta t cell,0
alpha-beta t lymphocyte,mature alpha-beta t lymphocyte,0
alpha-beta t lymphocyte,mature alpha-beta t-cell,0
alpha-beta t lymphocyte,mature alpha-beta t-lymphocyte,0
alpha-beta t-cell,alpha-beta t cell,1
alpha-beta t-cell,alpha-beta t lymphocyte,1
alpha-beta t-cell,alpha-beta t-lymphocyte,1
alpha-beta t-cell,mature alpha-beta t cell,0
alpha-beta t-cell,mature alpha-beta t lymphocyte,0
alpha-beta t-cell,mature alpha-beta t-cell,0
alpha-beta t-cell,mature alpha-beta t-lymphocyte,0
alpha-beta t-lymphocyte,alpha-beta t cell,1
alpha-beta t-lymphocyte,alpha-beta t lymphocyte,1
alpha-beta t-lymphocyte,alpha-beta t-cell,1
alpha-beta t-lymphocyte,mature alpha-beta t cell,0
alpha-beta t-lymphocyte,mature alpha-beta t lymphocyte,0
alpha-beta t-lymphocyte,mature alpha-beta t-cell,0
alpha-beta t-lymphocyte,mature alpha-beta t-lymphocyte,0
animal stem cell,mesenchymal stem cell,0
animal stem cell,multi fate stem cell,0
animal stem cell,multi-fate stem cell,0
animal stem cell,multifate stem cell,0
animal stem cell,multipotent stem cell,0
animal stem cell,nephrogenic mesenchyme stem cell,0
animal stem cell,neural stem cell,0
animal stem cell,neuronal stem cell,0
animal stem cell,stem cells mesenchymal,0
apc,adult endothelial progenitor cell,0
apc,cd11b-positive dendritic cell,0
apc,cd141-positive myeloid dendritic cell,0
apc,cd1a dermal dc,0
apc,cd1a-positive dermal dendritic cell,0
apc,conventional dendritic cell,0
apc,dendritic cell,0
apc,dermal dendritic cell,0
apc,immature cd1a-positive dermal dendritic cell,0
apc,immature conventional dendritic cell,0
apc,immature dermal dendritic cell,0
apc,immature myeloid dendritic cell,0
apc,lymphoid dendritic cell,0
apc,myeloid dendritic cell,0
apc,plasmacytoid dendritic cell,0
apc,professional antigen presenting cell,0
apc,type 1 dc,0
apc,type 2 dc,0
bladder cell,smooth muscle cell of bladder,0
bone marrow stromal cells,bmsc,0
bone marrow stromal cells,cfu-f,0
bone marrow stromal cells,colony-forming unit-fibroblast,0
bone marrow stromal cells,marrow stromal cells,1
bone marrow stromal cells,smcs,0
cd11ccd123- dc,cd141-positive myeloid dendritic cell,0
cd1a dermal dc,cd1a-positive dermal dendritic cell,1
cd1a dermal dc,immature cd1a-positive dermal dendritic cell,0
cd1a-positive dermal dendritic cell,cd1a dermal dc,1
cd1a-positive dermal dendritic cell,immature cd1a-positive dermal dendritic cell,0
cd3e-positive t cell,alpha-beta t cell,0
cd3e-positive t cell,alpha-beta t lymphocyte,0
cd3e-positive t cell,alpha-beta t-cell,0
cd3e-positive t cell,alpha-beta t-lymphocyte,0
cd3e-positive t cell,cd3epsilon t cell,1
cd3e-positive t cell,immature t cell,0
cd3e-positive t cell,mature alpha-beta t cell,0
cd3e-positive t cell,mature alpha-beta t lymphocyte,0
cd3e-positive t cell,mature alpha-beta t-cell,0
cd3e-positive t cell,mature alpha-beta t-lymphocyte,0
cd3e-positive t cell,mature t-cell,0
cd3e-positive t cell,plasmacytoid t cell,0
cd3epsilon t cell,cd3e-positive t cell,1
cdc,conventional dendritic cell,0
cdc,dc1,0
cdc,dc2,0
cdc,immature conventional dendritic cell,0
cdc,myeloid dendritic cell,0
cdc,type 1 dc,0
cdc,type 2 dc,0
cell,adult endothelial progenitor cell,0
cell,afferent neuron,0
cell,alpha-beta t cell,0
cell,alpha-beta t lymphocyte,0
cell,alpha-beta t-cell,0
cell,alpha-beta t-lymphocyte,0
cell,angioblast,0
cell,angioblastic mesenchymal cell,0
cell,animal stem cell,0
cell,apc,0
cell,bc,0
cell,bcs,0
cell,binucleate cell,0
cell,bladder cell,0
cell,bmsc,0
cell,bone marrow stromal cells,0
cell,bps,0
cell,cd11b-positive dendritic cell,0
cell,cd11ccd123- dc,0
cell,cd141-positive myeloid dendritic cell,0
cell,cd1a dermal dc,0
cell,cd1a-positive dermal dendritic cell,0
cell,cd3e-positive t cell,0
cell,cd3epsilon t cell,0
cell,cdc,0
cell,cell of epidermis,0
cell,central nervous system neuron,0
cell,cerebral cortex neuron,0
cell,cfu-f,0
cell,chondroplast,0
cell,choroidal cell of the eye,0
cell,circulating angiogenic cell,0
cell,colony-forming unit-fibroblast,0
cell,cone retinal bipolar cell,0
cell,connective tissue cell,0
cell,contractile cell,0
cell,conventional dendritic cell,0
cell,corneal epithelial cell,0
cell,cortical neuron,0
cell,db3 cone bipolar cell,0
cell,dc1,0
cell,dc2,0
cell,dendritic cell,0
cell,dendritic reticular cell,0
cell,dermal dendritic cell,0
cell,ecto-epithelial cell,0
cell,electrically active cell,0
cell,electrically responsive cell,0
cell,electrically signaling cell,0
cell,endo-epithelial cell,0
cell,endometrial glandular epithelial cell,0
cell,epc,0
cell,epidermal cell,0
cell,epidermal keratinocyte,0
cell,epithelial cell,0
cell,epithelial cell of alimentary canal,0
cell,epithelial cell of cornea,0
cell,epithelial cell of endometrial gland,0
cell,epithelial cell of esophagus,0
cell,epithelial cell of skin,0
cell,epithelial cell of stomach,0
cell,epithelial cell of stratum corneum of esophageal epithelium,0
cell,epithelial cell of uterus,0
cell,epithelial mesenchymal cell,0
cell,epitheliocyte,0
cell,eukaryotic cell,0
cell,excretory cell,0
cell,forebrain neuron,0
cell,garland cell,0
cell,garland nephrocyte,0
cell,general ecto-epithelial cell,0
cell,geniculate ganglion vglut2 neuron,0
cell,germ cell,0
cell,germ line cell,0
cell,glandular epithelial cell of endometrium,0
cell,glutamatergic neuron,0
cell,haematopoietic cell,0
cell,haemopoietic cell,0
cell,hair follicle cell,0
cell,hair follicular keratinocyte,0
cell,hematopoietic cell,0
cell,hemopoietic cell,0
cell,immature cd1a-positive dermal dendritic cell,0
cell,immature conventional dendritic cell,0
cell,immature dermal dendritic cell,0
cell,immature myeloid dendritic cell,0
cell,immature t cell,0
cell,immune cell,0
cell,input neuron,0
cell,interferon-producing cell,0
cell,intratelencephalic-projecting glutamatergic cortical neuron,0
cell,ipc,0
cell,it neuron,0
cell,keratin accumulating cell,0
cell,keratincyte of epidermis,0
cell,keratinizing barrier epithelial cell,0
cell,keratinocyte,0
cell,l23-6 intratelencephalic projecting glutamatergic neuron,0
cell,l23-6 it projecting neuron,0
cell,l6 intratelencephalic projecting glutamatergic neuron,0
cell,l6 it,0
cell,leucocyte,0
cell,leukocyte,0
cell,lower urinary tract cell,0
cell,lymphocyte,0
cell,lymphoid dendritic cell,0
cell,male germ cell,0
cell,marrow stromal cells,0
cell,mature alpha-beta t cell,0
cell,mature alpha-beta t lymphocyte,0
cell,mature alpha-beta t-cell,0
cell,mature alpha-beta t-lymphocyte,0
cell,mature t-cell,0
cell,mdc,0
cell,mesenchymal precursor cell,0
cell,mesenchymal progenitor cells,0
cell,mesenchymal stem cell,0
cell,mesenchymal stromal cell,0
cell,mesenchymal stromal cells,0
cell,meso-epithelial cell,0
cell,mitogenic signaling cell,0
cell,mononuclear cell,0
cell,mononuclear leukocyte,0
cell,mononuclear phagocyte,0
cell,motile cell,0
cell,msc,0
cell,multi fate stem cell,0
cell,multi-fate stem cell,0
cell,multifate stem cell,0
cell,multinucleate cell,0
cell,multinucleated cells,0
cell,multipotent cell,0
cell,multipotent stem cell,0
cell,muscle cell,0
cell,muscle fiber,0
cell,myeloid cell,0
cell,myeloid dendritic cell,0
cell,myeloid leukocyte,0
cell,myocyte,0
cell,myocytes smooth muscle,0
