parent,child,mutual
afters,christmas pudding,0
afters,hasty pudding,0
alcohol,alcoholic beverage,0
alcohol,alcoholic drink,0
alcohol,cider,0
alcohol,cyder,0
alcohol,fortified wine,0
alcohol,madeira,0
alcohol,rotgut,0
alcohol,scrumpy,0
alcohol,vino,0
alcohol,wine,0
alcoholic beverage,alcoholic drink,0
alcoholic beverage,cider,0
alcoholic beverage,cyder,0
alcoholic beverage,fortified wine,0
alcoholic beverage,madeira,0
alcoholic beverage,rotgut,0
alcoholic beverage,scrumpy,0
alcoholic beverage,vino,0
alcoholic beverage,wine,0
alcoholic drink,cider,0
alcoholic drink,cyder,0
alcoholic drink,fortified wine,0
alcoholic drink,madeira,0
alcoholic drink,rotgut,0
alcoholic drink,scrumpy,0
alcoholic drink,vino,0
alcoholic drink,wine,0
aliment,alcohol,0
aliment,alcoholic beverage,0
aliment,alcoholic drink,0
aliment,alimentary paste,0
aliment,baked goods,0
aliment,bean,0
aliment,belgian endive,0
aliment,beverage,0
aliment,breakfast food,0
aliment,buttermilk,0
aliment,candy,0
aliment,cereal,0
aliment,charlotte,0
aliment,charlotte russe,0
aliment,cheese,0
aliment,cherry,0
aliment,chicken salad,0
aliment,chicory escarole,0
aliment,christmas pudding,0
aliment,cider,0
aliment,citrange,0
aliment,citrous fruit,0
aliment,citrus,0
aliment,citrus fruit,0
aliment,cocoa,0
aliment,condiment,0
aliment,confect,0
aliment,confection,0
aliment,cornmeal mush,0
aliment,cusk,0
aliment,cyder,0
aliment,dairy product,0
aliment,delicacy,0
aliment,dessert,0
aliment,dietary supplement,0
aliment,dish,0
aliment,drink,0
aliment,drinking water,0
aliment,edible bean,0
aliment,edible fruit,0
aliment,endive,0
aliment,escarole,0
aliment,fish,0
aliment,flavorer,0
aliment,flavoring,0
aliment,flavourer,0
aliment,flavouring,0
aliment,food product,0
aliment,foodstuff,0
aliment,fortified wine,0
aliment,french endive,0
aliment,french pastry,0
aliment,frozen dessert,0
aliment,goody,0
aliment,green,0
aliment,green goods,0
aliment,green groceries,0
aliment,greens,0
aliment,gumbo,0
aliment,hand cheese,0
aliment,hasty pudding,0
aliment,hot cereal,0
aliment,ice cream,0
aliment,icecream,0
aliment,inebriant,0
aliment,ingredient,0
aliment,intoxicant,0
aliment,julienne vegetable,0
aliment,kickshaw,0
aliment,leafy vegetable,0
aliment,legume,0
aliment,lobster butter,0
aliment,lox,0
aliment,madeira,0
aliment,milk,0
aliment,molasses taffy,0
aliment,morello,0
aliment,multivitamin,0
aliment,multivitamin pill,0
aliment,mush,0
aliment,napoleon,0
aliment,native peach,0
aliment,nougat,0
aliment,nutrient,0
aliment,nutriment,1
aliment,okra,0
aliment,osso buco,0
aliment,paste,0
aliment,pastry,0
aliment,peach ice cream,0
aliment,pepper steak,0
aliment,peppered steak,0
aliment,plantain,0
aliment,plum pudding,0
aliment,porridge,0
aliment,produce,0
aliment,pudding,0
aliment,quandang,0
aliment,quandong,0
aliment,quantong,0
aliment,rotgut,0
aliment,salad,0
aliment,salad green,0
aliment,salad greens,0
aliment,salmon,0
aliment,saltwater fish,0
aliment,scandinavian lox,0
aliment,scrumpy,0
aliment,seafood,0
aliment,seasoner,0
aliment,seasoning,0
aliment,semi-skimmed milk,0
aliment,smoked salmon,0
aliment,solid food,0
aliment,souffle,0
aliment,sour cherry,0
aliment,soy,0
aliment,soya,0
aliment,soya bean,0
aliment,soybean,0
aliment,spaghetti,0
aliment,spread,0
aliment,steak au poivre,0
aliment,strawberry ice cream,0
aliment,string cheese,0
aliment,taffy,0
aliment,tetrazzini,0
aliment,treat,0
aliment,trout,0
aliment,veg,0
aliment,vegetable,0
aliment,veggie,0
aliment,victuals,0
aliment,vino,0
aliment,vitamin,0
aliment,vitamin b,0
aliment,vitamin b complex,0
aliment,vitamin pill,0
aliment,water-soluble vitamin,0
aliment,wine,0
aliment,witloof,0
aliment,yoghourt,0
aliment,yoghurt,0
aliment,yogurt,0
alimentary paste,spaghetti,0
alimentation,alcohol,0
alimentation,alcoholic beverage,0
alimentation,alcoholic drink,0
alimentation,aliment,0
alimentation,alimentary paste,0
alimentation,b complex,0
alimentation,b vitamin,0
alimentation,b-complex vitamin,0
alimentation,baked goods,0
alimentation,bean,0
alimentation,belgian endive,0
alimentation,beverage,0
alimentation,breakfast food,0
alimentation,buttermilk,0
alimentation,candy,0
alimentation,cereal,0
alimentation,charlotte,0
alimentation,charlotte russe,0
alimentation,cheese,0
alimentation,cherry,0
alimentation,chicken salad,0
alimentation,chicory escarole,0
alimentation,christmas pudding,0
